date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-04-04 23:57:42,diorsamanfa,,58,11,359,"let’s start a mixed thread i’m half Vietnamese half Asian pic.twitter.com/HkDHe8agKR",,,,1246587781104664577,https://twitter.com/diorsamanfa/status/1246587781104664577
2020-04-04 23:53:38,EugeneCho,,8,13,356,"Coronavirus Diaries: Walking with my father. 1. Dad, let's walk. You need to exercise. 2. But don't go out alone because of anti-Asian sentiment. 3. Wear your mask. 4. Also, wear you gloves. 5. Also, wear your goggles. 6. Also, walk 10 feet away from me. 7. And I love you. pic.twitter.com/zDazlboEjo",,,,1246586757690224640,https://twitter.com/EugeneCho/status/1246586757690224640
2020-04-04 23:29:13,aznbrutalistgrl,,1,49,419,"Asian Americans are delusional if they still (after all of this) think the solution to better treatment is America including more POC in our media, government, and corporations when really the solution to better treatment is to destroy America and not let it exist anymore.",,,,1246580615169871872,https://twitter.com/aznbrutalistgrl/status/1246580615169871872
2020-04-04 23:25:12,yous_bts,,5,6,151,"I didn’t grew up with a loving family. I feel like any person who comes from an Asian family & has more than 5+ siblings & their parents are deadass old school generation would know this. They give didnt give us lovey dovey. They gave us heartbreak & say it’s for our sake.",,,,1246579601704280064,https://twitter.com/yous_bts/status/1246579601704280064
2020-04-04 23:23:29,syezzy_k,aidi_ezzhar,5,49,320,"Nak kata I muda sangat macam tak tapi I tak pernah dengar tentang kewujudan Bank Hock Hua! Thanks to Google, I learned that Hock Hua Bank paired with Public Bank after the Asian Financial Crisis. New knowledge indeed. Thanks!",,,,1246579173428092928,https://twitter.com/syezzy_k/status/1246579173428092928
2020-04-04 23:23:12,BadKarma5555,kirstiealley,4,35,130,"Asian Flu (Originated in China) SARS (Originated in China) H1N1 (Originated in China) Wuhan Virus (Originated in China) Once is happenstance. Twice is coincidence. Three times is enemy action. We are now at four times and ignoring the dangers China poses to the world.",,,,1246579098715140100,https://twitter.com/BadKarma5555/status/1246579098715140100
2020-04-04 23:18:16,TrayBridgewater,,2,8,72,"The Chinese government is awful but an entirely distinct entity from the Chinese people et large Racism against asian americans is reactionary as fuck and the exact wrong response to have",,,,1246577860539711488,https://twitter.com/TrayBridgewater/status/1246577860539711488
2020-04-04 23:12:44,CarlZha,,1,12,64,"Dutch East Indies 1915-16. Portrait of Antoinette Westerman and her babysitter in Semarang, Central Java in present day Indonesia. Many European children were raised by native maids in Southeast Asian colonies that they grew up speaking Malay or Javanese Via @potretlawaspic.twitter.com/rhxUQA8b3s",,@potretlawaspic,,1246576465136586752,https://twitter.com/CarlZha/status/1246576465136586752
2020-04-04 23:02:55,mqmqqmqm,,3,39,353,"The takeaway from Andrew Yang's piece isn't that Asian Americans are already so American that we shouldn't have to prove it. Instead, it is that the US as a nation and being American is inherently violent. We must divest from ""being American"" and stop clinging to the US empire.",,,,1246573994679173122,https://twitter.com/mqmqqmqm/status/1246573994679173122
2020-04-04 23:00:47,emilyyttran,,2,9,63,"I was at Acme yesterday with my (Asian) family and when people saw us, they pulled their shirts up over their faces. Don’t tell me calling this the “Chinese virus” isn’t racist. It is.",,,,1246573458072494081,https://twitter.com/emilyyttran/status/1246573458072494081
2020-04-04 22:57:39,yous_bts,,13,10,129,"Like don’t be coming at us Asian like that & Hispanic too. We don’t mf play",,,,1246572672302993408,https://twitter.com/yous_bts/status/1246572672302993408
2020-04-04 22:45:21,communistdoll,,1,54,250,"can y’all stop find random videos of asian people eating and use it dehumanize an entire group of people or impose your western ideas about what acceptable cuisine is?",,,,1246569576902594563,https://twitter.com/communistdoll/status/1246569576902594563
2020-04-04 22:43:54,Viicckkaayy,IWriteAllDay_,16,35,1154,"This just reminded me back in hs I had to carpool with these two asian kids and I said something and mans was like “huh oh I forgot to turn on my Ebonics translator”",,,,1246569209431306242,https://twitter.com/Viicckkaayy/status/1246569209431306242
2020-04-04 22:42:53,yous_bts,,6,8,190,"I still live with my parents bc 1. I’m a female Asian. My family is really cultured. 2. Both of my parents are disable so they have me & my other two siblings taking care of them. I have a job, paying my own bills & also helping out paying what’s needed. +",,,,1246568953012301824,https://twitter.com/yous_bts/status/1246568953012301824
2020-04-04 22:39:48,XiranJayZhao,,16,12,155,"who tf is out here spreading rumors that asian women are docile and submissive HAVE THEY MET AN ASIAN AUNTIE????",,,,1246568179452633088,https://twitter.com/XiranJayZhao/status/1246568179452633088
2020-04-04 22:38:32,MailOnline,,14,45,57,"Coronavirus could cost the global economy $4.1 trillion - five per cent of worldwide output - Asian Development Bank warns https://trib.al/ReBRhQ8",,,,1246567861260365832,https://twitter.com/MailOnline/status/1246567861260365832
2020-04-04 22:29:26,paulsperry_,,310,3221,7237,"Just got off phone w my Mom & she said she had Asian Flu in '57 pandemic & that I had the Hong Kong Flu in '68 pandemic. Combined, these virulent influenza outbreaks took 100k+ U.S. lives, yet no lockdowns. Why? No 24/7 media hysteria. ""We had no idea how many people were dying""",,,,1246565569333207040,https://twitter.com/paulsperry_/status/1246565569333207040
2020-04-04 22:08:30,deathbypdf,,9,88,223,"This is the most personal essay I have written and the most angry and upset I have felt about anti-chinese racism for a sec. I think it’s important to know how badly Asian people are hurting right now, and the history of being treated like we are diseased https://www.pantograph-punch.com/post/you-treat-us-like-were-the-virus …",,,,1246560300851027969,https://twitter.com/deathbypdf/status/1246560300851027969
2020-04-04 21:54:48,tify330,KamalaHarris,2,12,48,"Who is worried about Asian American oh yeah Kamala, Mazie and Tammy https://twitter.com/kamalaharris/status/1246201312276029441?s=21 …https://twitter.com/KamalaHarris/status/1246201312276029441 …",,,,1246556852185370628,https://twitter.com/tify330/status/1246556852185370628
2020-04-04 21:36:53,Kingfreespeech,,14,76,152,"Democrats: America is white, black, Hispanic, Asian, and - Me: It’s racist to see and treat people differently based on appearance, right? Would you like to end racism? Democrats: Yes Me: Stop forcing everyone to be white, black, Hispanic, and Asian. STOP BEING RACIST",,,,1246552346483703809,https://twitter.com/Kingfreespeech/status/1246552346483703809
2020-04-04 23:53:21,sangisgf,,22,1,102,"hello as soon as i walked into the sales floor at my job this white woman harassed me for working at daiso but not being asian and when i told her i was asian she got mad",,,,1246586689331400705,https://twitter.com/sangisgf/status/1246586689331400705
2020-04-04 23:49:18,BeardCapForever,jlhbrain,3,0,87,"Did I mention that time I was astral projecting as an Asian monitor lizard and nearly came face to face with a cute American?",,,,1246585668412866560,https://twitter.com/BeardCapForever/status/1246585668412866560
2020-04-04 23:49:01,tinashehive,hellokittyplush,2,2,33,"Asian doll bf https://twitter.com/hellokittyplush/status/1246560635372134401 …",,,,1246585596820295683,https://twitter.com/tinashehive/status/1246585596820295683
2020-04-04 23:42:31,a_london_pigeon,,0,3,11,"Yellow-footed Green-pigeon (Treron phoenicopterus) choosing a fig. A widespread Asian bird #India #Pakistan #Sri_Lanka #Myanmar #China #Vietnam #Laos #Cambodia #Thailand Debraj Sur.pic.twitter.com/LOi4z064Ns",,,#India #Pakistan #Sri_Lanka #Myanmar #China #Vietnam #Laos #Cambodia #Thailand,1246583963558252549,https://twitter.com/a_london_pigeon/status/1246583963558252549
2020-04-04 23:25:30,teachertong,,2,0,25,". @kingarthurflour and their recipes. Today’s test is this beautiful “Pillowy White Loaf” - smells and tastes just like my favourite Asian bakeries! Also, I found yeast at my local Asian grocer so there’s a tip. pic.twitter.com/uAdFIfNJTm",,@kingarthurflour,,1246579680641028096,https://twitter.com/teachertong/status/1246579680641028096
2020-04-04 23:14:43,naleysquake,,2,7,23,"why you should watch agents of shield: unique cast badass asian women who are not treated like damsels in distress. the main couple is two white people that aren’t from america and have accents so like even their white people are diverse.",,,,1246576964850286595,https://twitter.com/naleysquake/status/1246576964850286595
2020-04-04 23:13:43,teamoncology,,0,5,32,"The western countries resisted this concept of wearing a mask for a long time despite Asian countries embraced this concept. Time to change our habit and perception about the use of the mask in public. Not just during the COVID-19.",,,,1246576712277725185,https://twitter.com/teamoncology/status/1246576712277725185
2020-04-04 23:03:39,hatsunesankyuu,,0,3,18,"its international rat day and if i see yall calling asian characters rats i’m going to tell miku ur racist! i will! watch me! hey miss miku",,,,1246574181988405248,https://twitter.com/hatsunesankyuu/status/1246574181988405248
2020-04-04 22:56:54,aznheaux,,3,8,26,"the barber the cutpic.twitter.com/EkDEiQkRfz",,,,1246572481701392386,https://twitter.com/aznheaux/status/1246572481701392386
2020-04-04 22:49:48,Shattered_Earth,,1,5,67,"My mom is getting hoax texts from her friends purporting grocery stores will be close from X to Y dates and to stock up now. It's fucked up people make up shit to scare old asian ladies.",,,,1246570693090672640,https://twitter.com/Shattered_Earth/status/1246570693090672640
2020-04-04 22:41:03,boyswhomstcry,leftasian,0,4,47,"“Turtle remains a popular dish in Asian cultures, especially in places touched by British colonialism” hmmmmmm https://www.google.com/amp/s/thetakeout.com/why-have-americans-stopped-eating-turtle-1798346325/amp …",,,,1246568494151266304,https://twitter.com/boyswhomstcry/status/1246568494151266304
2020-04-04 22:40:54,missthi2,,2,15,29,"This is my mood for the day. Who wants to come worship this beautiful Asian goddess. I'm ready to use and abuse all of you. Step right up, wallets open, betas. Tributes ALWAYS before DM. Methods in bio. @asiandomnation @rt_feet @promocuckypic.twitter.com/faI9XGZRlc",,@asiandomnation @rt_feet @promocuckypic,,1246568454381088770,https://twitter.com/missthi2/status/1246568454381088770
2020-04-04 22:33:36,aznsrepresent,JoseGar37068740,0,0,28,"Oriental Adventures was influential in so many wrong ways. Like @DeeEmSteve pointed out in his response, it helped perpetuate negative Asian stereotypes that continue to effect Asian gamers to this day. So, in a way, you're right about it being influential?",,@DeeEmSteve,,1246566616080551942,https://twitter.com/aznsrepresent/status/1246566616080551942
2020-04-04 22:19:44,RepGraceMeng,,3,7,17,"Joined @MaulikPancholy, @vivek_murthy & @HudsonDYang for an important & meaningful conversation on combating bullying and hate targeted at the Asian American community as a result of the #COVID19 pandemic. Thanks to @ActToChange for hosting. https://bit.ly/2x2yM6s #coronavirus",,@MaulikPancholy @vivek_murthy @HudsonDYang @ActToChange,#COVID19 #coronavirus,1246563129825398785,https://twitter.com/RepGraceMeng/status/1246563129825398785
