date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-04-29 23:59:59,parkerrhughess,,2,9,36,"I love HPU so much, I really do, but the food the caf has been serving this past week is just unacceptable. The students pay far too much money to be eating food of this quality. It’s usually not this bad, but it’s gone too far. Let’s please be better",,,,1123014096520138753,https://twitter.com/parkerrhughess/status/1123014096520138753
2019-04-29 23:59:59,comrade_kody,comrade_kody,0,4,40,"-Finally, gender parity among soldiers responsible for bombing hospitals, schools, and apartment buildings will be achieved by 2030!",,,,1123014096046047233,https://twitter.com/comrade_kody/status/1123014096046047233
2019-04-29 23:59:59,sxedtal,,5,7,65,"LETS GOOOOOOOO IT CAME INpic.twitter.com/c3ObdDyMSq",,,,1123014095077302272,https://twitter.com/sxedtal/status/1123014095077302272
2019-04-29 23:59:59,madelynxmonroe,,9,9,181,"That hydra facial was just what my skin needed pic.twitter.com/68ASjCl7oT",,,,1123014094783635456,https://twitter.com/madelynxmonroe/status/1123014094783635456
2019-04-29 23:59:59,The_Deezer,,49,7,452,"Pops had his heart catheter today & afterwards the doctor told us that double or triple bypass needed to be done. He’ll be moved to KU Med Center tomorrow & I asked for continued prayers! So many of you on Twitter have become like family & I appreciate EVERY LAST ONE OF YOU!",,,,1123014093856739328,https://twitter.com/The_Deezer/status/1123014093856739328
2019-04-29 23:59:59,AHSPantherFB,AbbevilleB,1,8,53,"Congrats to Coach Milford and the boys tonight. Heading to Upper Statehttps://twitter.com/AbbevilleB/status/1123001108497092608 …",,,,1123014093441503232,https://twitter.com/AHSPantherFB/status/1123014093441503232
2019-04-29 23:59:59,moodyflufnstuf,,5,8,33,"My doctor told me today that carbohydrates are killing everyone in this country and that was not an optimistic statement.",,,,1123014093420601344,https://twitter.com/moodyflufnstuf/status/1123014093420601344
2019-04-29 23:59:58,KeemHastheDream,,1,14,35,"When I’m fucking up, it’s important to remind myself of the things I am doing well. Even if they’re small, the matter a whole damn lot. For me, loving accountability never looks beating myself up. It looks like acknowledging my shit, naming its impact, forgiving myself.",,,,1123014090476150785,https://twitter.com/KeemHastheDream/status/1123014090476150785
2019-04-29 23:59:58,GTFootball,,1,34,206,"DEVELOPMENTAL PROGRAM!!! @CoachCollins #NFL Legacy @GeorgiaTechFB #biGTime pic.twitter.com/ix22qGZKIc",,@CoachCollins @GeorgiaTechFB,#NFL #biGTime,1123014090253897728,https://twitter.com/GTFootball/status/1123014090253897728
2019-04-29 23:59:58,ktelizabethhh,,1,4,23,"my face. enjoy.pic.twitter.com/heqKJlkmeK",,,,1123014090236895232,https://twitter.com/ktelizabethhh/status/1123014090236895232
2019-04-29 23:59:57,multifan_rabble,,1,17,35,"Can the term ""Mary Sue"" just be eradicated from critical vocabulary, people get it wrong, so wrong, omg, so wrong, every competent woman gets slapped with the ""Mary Sue"" label, people stick that label on characters who aren't all the time, please make it stop",,,,1123014087980539910,https://twitter.com/multifan_rabble/status/1123014087980539910
2019-04-29 23:59:57,ryanmoore_74,,1,4,27,"the greatest man on televisionpic.twitter.com/ZUpUwFIyUA",,,,1123014087401771009,https://twitter.com/ryanmoore_74/status/1123014087401771009
2019-04-29 23:59:57,StormMS_,,3,451,1801,"when kid cudi hits that first hum @RollingLoudpic.twitter.com/mIZvsWGVZo",,@RollingLoudpic,,1123014086734880768,https://twitter.com/StormMS_/status/1123014086734880768
2019-04-29 23:59:57,reignispouring,,2,25,138,"YALL ARE NOT I REPEAT ARE NOT TAKING THIS AWAY FROM MIDNIGHT",,,,1123014085245796352,https://twitter.com/reignispouring/status/1123014085245796352
2019-04-29 23:59:57,steeeve_83,KOHuerta,5,8,375,"i thought it was a fall out boy song",,,,1123014085212291073,https://twitter.com/steeeve_83/status/1123014085212291073
2019-04-29 23:59:56,0njanae,,1,13,9,"You can’t force nobody to see that you a blessing. You just gotta let em miss out",,,,1123014082062430208,https://twitter.com/0njanae/status/1123014082062430208
2019-04-29 23:59:56,WUSPYS,,1,4,49,"Geddings Award (Overall Student-Athlete) And the #WUSPYS Award goes to... @WingateVB All-American & Academic All-America honoree Anna Holmquist!!pic.twitter.com/owo9LwB3dj",,@WingateVB,#WUSPYS,1123014080984440833,https://twitter.com/WUSPYS/status/1123014080984440833
2019-04-29 23:59:59,PinFallRecruit,brendanlaird22,0,2,13,"Brendan Laird - Conneaut Area, PA is committed to Mount Union! SQ In the #PFRdatabase. @UMUWrestling; @brendanlaird22; @cash_wrestlinghttps://twitter.com/brendanlaird22/status/1121206960311894016 …",,@UMUWrestling @brendanlaird22 @cash_wrestlinghttps,#PFRdatabase,1123014096792817674,https://twitter.com/PinFallRecruit/status/1123014096792817674
2019-04-29 23:59:59,According2Luke,JeffCallaway,0,7,10,"Your #UCP. Cheat under police investigation makes cheap shot at man for riding bike to work.https://twitter.com/JeffCallaway/status/1122867680308973569 …",,,#UCP,1123014095815340032,https://twitter.com/According2Luke/status/1123014095815340032
2019-04-29 23:59:59,SpecialK_van,,0,0,19,"ATTENTION ANYONE I will bless you by the taking u out to dinner and paying, as long as you buy me a Bentley or Telsa.",,,,1123014095181975553,https://twitter.com/SpecialK_van/status/1123014095181975553
2019-04-29 23:59:59,FrazierFirsties,,4,2,12,"Day 1 of our Teacher Appreciation Week raffle! Our teachers won gift cards to Royal Tern, The Tomato Shed, and Sunrise Bistro! We also had some clothing items and a lamp! #angeloakespic.twitter.com/SOmwlGp6Bq",,,#angeloakespic,1123014093991030787,https://twitter.com/FrazierFirsties/status/1123014093991030787
2019-04-29 23:59:59,scottzolak,Dan_Shaughnessy,7,1,23,"Didn’t the Little Leader teach him a new pitch? Tv just called Sale outing great, got through 7. New timeshttps://twitter.com/Dan_Shaughnessy/status/1123011214441885697 …",,,,1123014093064081408,https://twitter.com/scottzolak/status/1123014093064081408
2019-04-29 23:59:58,blogginmamas,,0,4,4,"AD: Join us at 9p ET tonight for the #StartingIsBelieving Twitter Party with @FloridaPrepaid Come chat about saving for college. Plus, we're giving away 4 tickets to @LEGOLANDFlorida and other prizes too! Info & RSVP: http://bit.ly/sibchatapril pic.twitter.com/AFEFWGfrb3",,@FloridaPrepaid @LEGOLANDFlorida,#StartingIsBelieving,1123014092170629121,https://twitter.com/blogginmamas/status/1123014092170629121
2019-04-29 23:59:58,Jakebbee,,0,3,19,"If you don't like Hotel California by Eagles, I don't like you",,,,1123014090149048320,https://twitter.com/Jakebbee/status/1123014090149048320
2019-04-29 23:59:57,GoodHumorGrl,,0,2,13,"It’s time for @TheCW_Legends! #LegendsOfTomorrowpic.twitter.com/ukdZn3O6iP",,@TheCW_Legends,#LegendsOfTomorrowpic,1123014087187812353,https://twitter.com/GoodHumorGrl/status/1123014087187812353
2019-04-29 23:59:57,bbjenks,,10,1,65,"ya girl is a gilman scholarship recipient!!!!!!!!!!",,,,1123014087045152768,https://twitter.com/bbjenks/status/1123014087045152768
2019-04-29 23:59:57,Isabelscarlettt,,0,2,43,"Some gay dudes be so bitchy, like ok we get it I take it in my ass too",,,,1123014086407725056,https://twitter.com/Isabelscarlettt/status/1123014086407725056
2019-04-29 23:59:57,Ichigo4Life,HorussGoW,2,1,23,"This is amazing https://twitter.com/HorussGoW/status/1122959933820022787 …",,,,1123014085883383809,https://twitter.com/Ichigo4Life/status/1123014085883383809
2019-04-29 23:59:56,isfuen,,0,1,18,"hello it’s me and uh, I just wanted to come on here to say that my first year of college really kicked my ass. thx for listening.",,,,1123014084360921088,https://twitter.com/isfuen/status/1123014084360921088
2019-04-29 23:59:56,cliffping,djdebster,2,5,13,"Good evening everyonepic.twitter.com/TUO6MegVbk",,,,1123014083379388416,https://twitter.com/cliffping/status/1123014083379388416
2019-04-29 23:59:56,ayydiii_,,5,0,18,"I’m about to drop out of nursing school and join the military ... LET ME TELL YOU HOW MANY TIMES I CRY A WEEK",,,,1123014081244360704,https://twitter.com/ayydiii_/status/1123014081244360704
2019-04-29 23:59:56,laxswamy,,5,3,31,"Gas exchange is better than fluid exchange don't @me #NephJC #pulmcc",,@me,#NephJC #pulmcc,1123014081030631424,https://twitter.com/laxswamy/status/1123014081030631424
2019-04-29 23:59:56,shallomar_edgar,,8,21,198,"Just gonna leave this here Bc never gonna wear this out in public w/o shorts!pic.twitter.com/pTW3A9NMWs",,,,1123014080963457025,https://twitter.com/shallomar_edgar/status/1123014080963457025
2019-04-29 23:59:55,yesroslc17,,4,3,21,"Am i the only one who gets emotional when Armin and Hange get appreciation cause - gosh ! I know they’re not a lot of people’s absolute favs but they deserve so much love !",,,,1123014079361110016,https://twitter.com/yesroslc17/status/1123014079361110016
