date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-01-30 23:59:59,i_teach_because,,0,5,10,"This is why we teach #ITeachBecause at #CEC2019pic.twitter.com/0FsD3qMiZp",,,#ITeachBecause #CEC2019pic,1090761576301379585,https://twitter.com/i_teach_because/status/1090761576301379585
2019-01-30 23:59:59,PauletteParis1,BarneysNose,2,4,68,"Sometimes the enemy of my enemy is just another enemy.",,,,1090761575315599361,https://twitter.com/PauletteParis1/status/1090761575315599361
2019-01-30 23:59:59,JohnDHalloran,OLReign,5,14,151,"Can't emphasize enough how smart it is to put this letter out there fully explaining the thought process behind this decision.https://twitter.com/OLReign/status/1090754807776739328 …",,,,1090761575152132097,https://twitter.com/JohnDHalloran/status/1090761575152132097
2019-01-30 23:59:59,Renwick_Hood,,0,7,10,"If you believe in God, that’s all that matters",,,,1090761574967635969,https://twitter.com/Renwick_Hood/status/1090761574967635969
2019-01-30 23:59:59,y0ungdumbandgay,XureilaYT,2,4,105,"Keep in mind, mature content doesn’t mean sex or nudity, it just means more mature content like periods, alcohol etc",,,,1090761574573330432,https://twitter.com/y0ungdumbandgay/status/1090761574573330432
2019-01-30 23:59:59,daritheprince,jiggyjayy2,2,6,11,"When you drop the soup off he was with another bitch huh?https://twitter.com/jiggyjayy2/status/1090759146897498112 …",,,,1090761573503827968,https://twitter.com/daritheprince/status/1090761573503827968
2019-01-30 23:59:58,DapperJameson,,0,2,10,"OI MATES LIVE NOWhttps://www.twitch.tv/dapperjameson",,,,1090761571977039873,https://twitter.com/DapperJameson/status/1090761571977039873
2019-01-30 23:59:58,jaenumb,,1,58,113,"enjoying some beautifulpic.twitter.com/BKfgU28qXE",,,,1090761571696066562,https://twitter.com/jaenumb/status/1090761571696066562
2019-01-30 23:59:58,cinndytowers,,1,5,13,"Incredibles 2 is on Netflix!",,,,1090761571113021440,https://twitter.com/cinndytowers/status/1090761571113021440
2019-01-30 23:59:58,JustFunnyStuff2,,4,25,97,"#SoupyCinema The Broth of Khan",,,#SoupyCinema,1090761571100512257,https://twitter.com/JustFunnyStuff2/status/1090761571100512257
