date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-11-29 23:59:59,pnicholas79,WhatNowDoc,1,12,77,"Shame he wasn't dealt with the first time.pic.twitter.com/vJ2xmE0Y5a",,,,1200565100110925824,https://twitter.com/pnicholas79/status/1200565100110925824
2019-11-29 23:59:59,Diego_wny,,1,11,9,"Idk when this epidemic started but we all became tequila drinkers out of nowhere lol",,,,1200565100014383104,https://twitter.com/Diego_wny/status/1200565100014383104
2019-11-29 23:59:59,UtahGeohaz,,0,6,23,"The Colorado River runs red after a rainstorm.pic.twitter.com/ivtssbSN3X",,,,1200565099930341376,https://twitter.com/UtahGeohaz/status/1200565099930341376
2019-11-29 23:59:59,Zinn68,,1,2,59,"Great Team Win! #CreekBoys #ACF",,,#CreekBoys #ACF,1200565099519451137,https://twitter.com/Zinn68/status/1200565099519451137
2019-11-29 23:59:59,Lakisagoddess,DavidDTSS,1,1,161,"I guess I need to start racially profiling to see if I can get blessed.",,,,1200565099422978049,https://twitter.com/Lakisagoddess/status/1200565099422978049
2019-11-29 23:59:59,thtguynamedandy,trevor_rea,0,3,51,"The Princess Diaries was Anne Hathaway’s breakout rolehttps://twitter.com/trevor_rea/status/1200554968073277440 …",,,,1200565099183984640,https://twitter.com/thtguynamedandy/status/1200565099183984640
2019-11-29 23:59:59,Raiderz204,TristanAllen_1,4,0,162,"Lmaooo salty cowboys fans.",,,,1200565098470752256,https://twitter.com/Raiderz204/status/1200565098470752256
2019-11-29 23:59:59,Ian_Eastwood,,6,42,217,"im over this “im my own thing” “i don’t like labels”. WOMP. that’s dead. so wack. they know who they trained with who’s style they bite and don’t give credit to. they know who they’re replacing on camps. that false modesty, ‘i’m so humble’ shit is clipped.",,,,1200565098370215936,https://twitter.com/Ian_Eastwood/status/1200565098370215936
2019-11-29 23:59:59,YourBillie,,8,9,64,"Hanging with my favourite girl tonight doing duos!! Love this sexy lady!! @cafreviews_com @Billieswife2 pic.twitter.com/YMS8U74G1J",,@cafreviews_com @Billieswife2,,1200565098282045440,https://twitter.com/YourBillie/status/1200565098282045440
2019-11-29 23:59:59,unapologeticnee,,0,16,15,"I just wanna see everybody in a position to win. Spread more love and avoid the hate.",,,,1200565098043072513,https://twitter.com/unapologeticnee/status/1200565098043072513
2019-11-29 23:59:59,paulenglish1961,,1,17,78,"Manchester United 1935 #MUFC #ManUtd #ManchesterUnited #ManUnitedpic.twitter.com/tumqplkEvp",,,#MUFC #ManUtd #ManchesterUnited #ManUnitedpic,1200565097040666626,https://twitter.com/paulenglish1961/status/1200565097040666626
2019-11-29 23:59:58,BethPaintings,,0,17,11,"Check out Alligator Tooth Genuine Leather 32"" Cord Necklace Swamp People Gator https://ebay.us/8uNSDu via @eBay",,@eBay,,1200565095295782912,https://twitter.com/BethPaintings/status/1200565095295782912
2019-11-29 23:59:58,CafeMutant,,1,10,25,"It’s time #MutantFam! The #MutantCafe “Daddyman’s Thanksgiving Leftover Pot-Pie” episode is LIVE now - Lets get cooking!https://twitter.com/i/broadcasts/1mrxmrnzpqMKy …",,,#MutantFam #MutantCafe,1200565094263984128,https://twitter.com/CafeMutant/status/1200565094263984128
2019-11-29 23:59:58,CarlValenzona,,1,16,28,"The prize for best actress went to Filipina film and TV star and social media queen Judy Ann Santos for her unglamorous role as the anguished mother of a sick child in melodrama “Mindanao,” the latest from prolific Filipino director Brillante Mendoza. #MindanaoTheMoviepic.twitter.com/0CXTufZ0CX",,,#MindanaoTheMoviepic,1200565093257207808,https://twitter.com/CarlValenzona/status/1200565093257207808
2019-11-29 23:59:58,plazynoodles,homestuck,3,17,166,"EARTH C DIRK WEARS BLING EARRINGS WITH THIS FIThttps://twitter.com/homestuck/status/1200559067355369478 …",,,,1200565091965579264,https://twitter.com/plazynoodles/status/1200565091965579264
