date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-10-30 23:59:59,LeaderHoyer,,22,9,27,"Joined @MSNBC to discuss tomorrow’s vote on a resolution that lays out the process for open hearings in the impeachment inquiry. Every day, the evidence mounts, & when we begin these open hearings, the American people will have the opportunity to hear the facts for themselves.pic.twitter.com/p4lIVvxfvI",,@MSNBC,,1189693463815770113,https://twitter.com/LeaderHoyer/status/1189693463815770113
2019-10-30 23:59:59,LisaMei62,NateOnTheHill,551,2572,5093,"This b*tch should be in jail, not spewing her disgusting lies in these hearings . Hope her role in hiring the Awan bros is made public REAL SOON.https://twitter.com/NateOnTheHill/status/1189601486029934592 …",,,,1189693463551500288,https://twitter.com/LisaMei62/status/1189693463551500288
2019-10-30 23:59:59,ccpecknold,,21,114,629,"“Catholicism is a smart religion. It’s a beautiful religion. We need an army of evangelizers who communicate this to the world.” @BishopBarron",,@BishopBarron,,1189693463132069888,https://twitter.com/ccpecknold/status/1189693463132069888
2019-10-30 23:59:59,hcklbrry69,,1,2,21,"having a bad day but LOOK at these perfect mushiespic.twitter.com/hOiKNehAlO",,,,1189693462700056577,https://twitter.com/hcklbrry69/status/1189693462700056577
2019-10-30 23:59:59,Jordan_DidThat,thefathippy_,3,32,113,"Split it open and put some mustard on it, boyyy!https://twitter.com/thefathippy_/status/1189682289355239425 …",,,,1189693462674911232,https://twitter.com/Jordan_DidThat/status/1189693462674911232
2019-10-30 23:59:59,pepalum2000,,0,4,58,"Thank you @CAL_FIRE This bad boy is doing some work on the #EasyFire @ABC7 @TOAcornNews @ABCpic.twitter.com/OM6IQ6niH7",,@CAL_FIRE @ABC7 @TOAcornNews @ABCpic,#EasyFire,1189693462381133824,https://twitter.com/pepalum2000/status/1189693462381133824
2019-10-30 23:59:59,money_g0hard,,1,29,55,"Everybody just be lying",,,,1189693461441794052,https://twitter.com/money_g0hard/status/1189693461441794052
2019-10-30 23:59:58,BON_SBNation,,3,5,29,"The numbers prove that the #Longhorns have ran the ball with plenty of success thus far, but the issue is the ground game isn’t being utilized enough.https://www.burntorangenation.com/football/2019/10/30/20939093/texas-longhorns-rushing-offense-keaontay-ingram-roschon-johnson-sam-ehlinger?utm_campaign=burntorangenation&utm_content=chorus&utm_medium=social&utm_source=twitter …",,,#Longhorns,1189693460011466753,https://twitter.com/BON_SBNation/status/1189693460011466753
2019-10-30 23:59:58,BUNCHAFRlENDS,,4,4,21,"random post cause i just liked my fitpic.twitter.com/8LwTxhC3KZ",,,,1189693459508219905,https://twitter.com/BUNCHAFRlENDS/status/1189693459508219905
2019-10-30 23:59:58,0Calamity,0Calamity,2,8,28,"7. The LibDems, were they actually to get into power, would trigger civil unrest of a kind not seen in this country for decades. Those who ""won"" the referendum would be angry beyond reason. We can only ""win"" by bringing ALL people together, & giving them the opportunity to decide",,,,1189693458044375040,https://twitter.com/0Calamity/status/1189693458044375040
2019-10-30 23:59:58,SelenaNewsX,,0,4,29,"Selena Gomez seen at JFK Airport in New York, NY today!pic.twitter.com/PVW5hptokf",,,,1189693456232439808,https://twitter.com/SelenaNewsX/status/1189693456232439808
2019-10-30 23:59:58,LibDems,,20,216,512,"""The Conservatives are adopting the Brexit Party's ground. Voters are looking at the Conservative Party in its new incarnation & thinking we don't like what we see"" - @SamGyimah LibDems are the strongest party of Remain. Exit from this Brexit mess now http://www.libdems.org.uk/exit-brexit pic.twitter.com/gKCfmOY9o3",,@SamGyimah,,1189693456198832129,https://twitter.com/LibDems/status/1189693456198832129
2019-10-30 23:59:58,Sal_S1979,senatemajldr,1,4,50,"But they’re following rules your party put in place. #moscowmitchtraitorpic.twitter.com/mOq7epvul9",,,#moscowmitchtraitorpic,1189693456182136833,https://twitter.com/Sal_S1979/status/1189693456182136833
2019-10-30 23:59:57,billy_penn,WHYYNews,1,12,93,"The vote was 70 to 1https://twitter.com/WHYYNews/status/1189692727023128576 …",,,,1189693455754248197,https://twitter.com/billy_penn/status/1189693455754248197
