date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-09-29 23:59:59,RachelLynMc,,1,2,29,"Just 2 qUiRkY girls in the citypic.twitter.com/nCBnlIATXV",,,,1178459438790791168,https://twitter.com/RachelLynMc/status/1178459438790791168
2019-09-29 23:59:59,skift,,0,9,19,"Costa Rica is one of the few countries that considers social progress as a key metric of tourism industry success. That’s why tourism industry entities, including luxury hotels, are encouraged to train and hire locals.http://bit.ly/2mJqQBx",,,,1178459438732189696,https://twitter.com/skift/status/1178459438732189696
2019-09-29 23:59:59,Ambishes,,1,8,18,"Ummm im going to leave this one right here!pic.twitter.com/U0mkifz6hV",,,,1178459437608177665,https://twitter.com/Ambishes/status/1178459437608177665
2019-09-29 23:59:58,CommunityRisk,,0,9,45,"Our #13 with his first college homerun, 2 run blast to left!! #B1GCats #wildcatbaseballpic.twitter.com/wGBs1X2ga6",,,#13 #B1GCats #wildcatbaseballpic,1178459435519418368,https://twitter.com/CommunityRisk/status/1178459435519418368
2019-09-29 23:59:58,VeniceMase,,82,10,169,"The #Rams have slipped from 1st place for the first time in the Sean McVay era.",,,#Rams,1178459435380789250,https://twitter.com/VeniceMase/status/1178459435380789250
2019-09-29 23:59:58,TKArt25,,0,19,155,"Kyoko and Misako from @WayForward game River City Girls. I really liked this game, it was a fantastic beat em up! Loved it playing both single player and co-op. If you haven't played this game yet definitely give it a shot! #RiverCityGirls #Kyoko #Misako #WayForwardpic.twitter.com/znq9m9Pvdd",,@WayForward,#RiverCityGirls #Kyoko #Misako #WayForwardpic,1178459434957201408,https://twitter.com/TKArt25/status/1178459434957201408
2019-09-29 23:59:58,80sbiI,,0,7,31,"you're tellin me that peter parker isn't real????pic.twitter.com/k2VcbwCGsT",,,,1178459434252521472,https://twitter.com/80sbiI/status/1178459434252521472
2019-09-29 23:59:58,TrueBlueMeanie,essenviews,0,2,35,"As Clint Eastwood says in Unforgiven, ""Deserve's got nothing to do with it.""",,,,1178459433774583809,https://twitter.com/TrueBlueMeanie/status/1178459433774583809
2019-09-29 23:59:58,RoyNemer,MLS,2,3,36,"Gustavo Bou with the best finish you'll see all week. https://twitter.com/MLS/status/1178447668424536064 …",,,,1178459433686507521,https://twitter.com/RoyNemer/status/1178459433686507521
2019-09-29 23:59:58,kuff_sports,,0,8,34,"WATCH @TheScoreWQAD tonight at 10:35 to hear from the Assumption volleyball team. @welchykylie @stratmanjessica @claires02 @BreVB17 @KnightsAHS #qcscorepic.twitter.com/qs63o59en2",,@TheScoreWQAD @welchykylie @stratmanjessica @claires02 @BreVB17 @KnightsAHS,#qcscorepic,1178459432478486528,https://twitter.com/kuff_sports/status/1178459432478486528
2019-09-29 23:59:58,PapiiBorii,,2,1,118,"I’m a dad now pic.twitter.com/td3CUhhTWh",,,,1178459432331689990,https://twitter.com/PapiiBorii/status/1178459432331689990
2019-09-29 23:59:58,gj_prime,,0,4,37,"sir mabait is the most wholesome teacher.",,,,1178459432218284032,https://twitter.com/gj_prime/status/1178459432218284032
2019-09-29 23:59:57,HoustonTexans,,20,8,59,"All four games have come down to the wire. As @TexansVoice writes, the #Texans fell short on Sunday. » http://bit.ly/2osqG2x pic.twitter.com/QVqNfNXKYE",,@TexansVoice,#Texans,1178459431975174145,https://twitter.com/HoustonTexans/status/1178459431975174145
2019-09-29 23:59:57,jennybelustar,,1,3,16,"We really about to start the whole week over again :’)",,,,1178459430674931712,https://twitter.com/jennybelustar/status/1178459430674931712
2019-09-29 23:59:57,loret826,,3,40,85,"People who take Twitter seriously #OddThingsThatMakeMeLaugh",,,#OddThingsThatMakeMeLaugh,1178459430297325568,https://twitter.com/loret826/status/1178459430297325568
2019-09-29 23:59:57,frnkoceanfanacc,,10,17,188,"This how big my glasses gotta be to see all the lil dick mfs in my mentions pic.twitter.com/Eo5is0IzLE",,,,1178459430288904192,https://twitter.com/frnkoceanfanacc/status/1178459430288904192
2019-09-29 23:59:57,nccerino,,24,10025,52448,"that ""make me"" shit will make us both parents if you don't stop playin",,,,1178459429215313920,https://twitter.com/nccerino/status/1178459429215313920
2019-09-29 23:59:57,greglogs,,0,2,45,"Thanks to all the college coaches as well as volunteer team coaches at the showcase today. Great first year @HAMFamTraining event. Excited to watch it grow.",,@HAMFamTraining,,1178459429173366784,https://twitter.com/greglogs/status/1178459429173366784
