date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-04-11 23:59:13,tracingtheworld,,187,6234,5561,"What made #nnevvy so entertaining was Thai users humoring all the insults towards the king and the government because Chinese bots didn’t realise how much Thais despise their country currently. Some of my personal favourites: pic.twitter.com/J3deANAtdN",,,#nnevvy,1249124881075183619,https://twitter.com/tracingtheworld/status/1249124881075183619
2020-04-11 23:57:42,qin_duke,,2,5,31,"India and China's great 20th century divergence. The intellectual beginnings stem from a schism in worldview at the dawn of the 20th century when Chinese elites chose to take the path of Darwinian materialism towards national salvation as opposed to India.",,,,1249124499494260736,https://twitter.com/qin_duke/status/1249124499494260736
2020-04-11 23:56:03,shen_shiwei,,22,37,70,"Key points around the event in #Guangzhou A Chinese nurse bited & beaten by a #Nigerian passport holder during testing A few #African people arrived in #Guangzhou in Mar. didn’t follow quarantine regulations, caused #COVID19 community transmission @AUC_MoussaFaki @EbbaKalondopic.twitter.com/TQbDG2ZEIH",,@AUC_MoussaFaki @EbbaKalondopic,#Guangzhou #Nigerian #African #Guangzhou #COVID19,1249124082899202048,https://twitter.com/shen_shiwei/status/1249124082899202048
2020-04-11 23:55:31,WarRoomPandemic,,5,65,173,". @BillGertz: Dissident billionaire Ren Zhiqiang now has a one-way ticket to the Chinese gulag, but his example is a clear indication of mounting opposition to #XiJinping #WarRoomPandemic #DescentIntoHell #CCPVirus http://warroom.org/podcast pic.twitter.com/SrH2vXRiUu",,@BillGertz,#XiJinping #WarRoomPandemic #DescentIntoHell #CCPVirus,1249123949188972552,https://twitter.com/WarRoomPandemic/status/1249123949188972552
2020-04-11 23:53:00,historylvrsclub,,5,39,164,"Chinese girl, 1930. See more images: http://cmore.pics/3kmFi pic.twitter.com/yoD4nd2b5t",,,,1249123314062241799,https://twitter.com/historylvrsclub/status/1249123314062241799
2020-04-11 23:52:14,WarRoomPandemic,,6,42,74,". @SimoneGao: Many Chinese people would rather not get into trouble, know info outside firewall But a brave younger generation is surfacing, eager to know, especially amid #COVIDー19 pandemic #WarRoomPandemic #DescentIntoHell #CCPVirus http://warroom.org/podcast pic.twitter.com/ySJIjp2zsB",,@SimoneGao,#COVIDー19 #WarRoomPandemic #DescentIntoHell #CCPVirus,1249123122642550784,https://twitter.com/WarRoomPandemic/status/1249123122642550784
2020-04-11 23:50:57,ClimateCritic18,KeiraSavage00,14,11,115,"And the lefty weaklings say we are racists for saying Chinese are stealing our precious supplies to support their families instead. If you don't put Australia first you can leave. We don't want you. This applies to everyone... Chinese, Middle Eastern, European, anywhere.",,,,1249122800662654977,https://twitter.com/ClimateCritic18/status/1249122800662654977
2020-04-11 23:50:53,WarRoomPandemic,,2,30,57,". @SimoneGao: Living in #China is like being in an abusive relationship. The #CCP is all-powerful. If Chinese people want to live a decent life, they know not to get in the way of the party. #WarRoomPandemic #DescentIntoHell #CCPVirus http://warroom.org/podcast pic.twitter.com/QBgsPQyAvd",,@SimoneGao,#China #CCP #WarRoomPandemic #DescentIntoHell #CCPVirus,1249122783755489283,https://twitter.com/WarRoomPandemic/status/1249122783755489283
2020-04-11 23:46:18,helloitsthao,,18,98,276,"the trump campaign is changing its economic messaging due to the chinese coronavirus polls largely show that voters don't blame trump for the downturn, giving him the opportunity to pitch a ""comeback story"" for november https://www.wsj.com/articles/trump-campaign-shifts-economic-message-on-the-fly-11586597400 …",,,,1249121629801766912,https://twitter.com/helloitsthao/status/1249121629801766912
2020-04-11 23:44:21,ChinaInFocusNTD,,5,133,179,"Popular social simulator game #AnimalCrossing was banned in China after Hong Kong pro-democracy activist @joshuawongcf started a trend of customizing islands that take aim at Chinese Communist Party officials, including #XiJinping and @WHO during the #CCPVirus lockdown.pic.twitter.com/DPaTRCKE1u",,@joshuawongcf @WHO,#AnimalCrossing #XiJinping #CCPVirus,1249121137486897153,https://twitter.com/ChinaInFocusNTD/status/1249121137486897153
2020-04-11 23:43:56,trinareyes,,2,28,20,"Chinese Huawei & 2 US subsidiaries charged w/ conspiracy to steal trade secrets and more Chinese Telecommunications Conglomerate Huawei and Subsidiaries Charged in Racketeering Conspiracy and Conspiracy to Steal Trade Secrets | OPA | Department of Justice https://www.justice.gov/opa/pr/chinese-telecommunications-conglomerate-huawei-and-subsidiaries-charged-racketeering …",,,,1249121035175243776,https://twitter.com/trinareyes/status/1249121035175243776
2020-04-11 23:43:22,rottenbanana101,,3,51,41,"Below is a statement from the President in exile from E. Turkestan. He fully understands what the Chinese Communist Party is capable of . He believes Joe Biden would appease the CCP & is not the right man for the job . https://twitter.com/salihhudayar/status/1248789777261920262 …",,,,1249120889783947266,https://twitter.com/rottenbanana101/status/1249120889783947266
2020-04-11 23:41:53,ClimateRealists,,9,29,55,"Is Beijing covering up a real death toll of tens of thousands? Shocking footage shows Chinese police beating back residents trying to flee epicentre of coronavirus outbreak https://mol.im/a/8211073 via @MailOnline",,@MailOnline,,1249120518067949568,https://twitter.com/ClimateRealists/status/1249120518067949568
2020-04-11 23:41:36,JazbMs,,19,32,78,"#HappyEaster but I don't like these Chinese doctors especially this one pic.twitter.com/pbENwOm8UU",,,#HappyEaster,1249120446890618881,https://twitter.com/JazbMs/status/1249120446890618881
2020-04-11 23:40:41,TheBeaSmith,,4,23,23,"Morgan Stanley, Credit Suisse, and Barclays to lose >$100 million, because a Chinese company (NASDAQ-traded ), who falsified 2019 revenues, defaulted on its loans. https://www.wsj.com/articles/banks-stand-to-lose-more-than-100-million-on-loan-to-chairman-of-chinas-luckin-coffee-11586182777 …pic.twitter.com/hK1xpBIlbb",,,,1249120214022750210,https://twitter.com/TheBeaSmith/status/1249120214022750210
2020-04-11 23:38:39,DrKinKam,optionx98,2,12,27,"Type A: Mostly found in Americans and Australians. Closest match to bats genome. Type B: Predominant in Wuhan and rest of China. Type C: Predominant in Europe. None found in Chinese study. https://twitter.com/optionx98/status/1249074851513421824 …",,,,1249119702837846018,https://twitter.com/DrKinKam/status/1249119702837846018
2020-04-11 23:37:46,KashJackson2018,realDonaldTrump,9,22,140,"Maybe the Chinese paid them to put out propaganda for them??",,,,1249119481462427651,https://twitter.com/KashJackson2018/status/1249119481462427651
2020-04-11 23:35:54,lunch_enjoyer,,1,6,107,"when they say “He will never be random” about you and you turn around and say “Teh chinese Chicken go moo...”",,,,1249119010001690624,https://twitter.com/lunch_enjoyer/status/1249119010001690624
2020-04-11 23:35:50,DavidStaplesYEG,,4,16,99,"Most recently, Alberta chartered its own plane to bring masks, gloves and gowns directly from long-time Chinese suppliers. JP Prasad and his AHS team deserver Order of Canada for their work here. #CanadaTogether",,,#CanadaTogether,1249118993136463873,https://twitter.com/DavidStaplesYEG/status/1249118993136463873
2020-04-11 23:58:08,Aguyyouknow2,PhilipBagley102,13,15,57,"The thing is CCP shills are using this very study to say the disease came from Europe and usa not china. Nyt is running news that helps the Chinese coverup. We need to recognize the truth here. #ccpvirus #ChinaLiedPeopleDiedpic.twitter.com/hhoSyBIt5x",,,#ccpvirus #ChinaLiedPeopleDiedpic,1249124605777907713,https://twitter.com/Aguyyouknow2/status/1249124605777907713
