date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-01-25 23:54:13,ahaamustafa,,13,446,3022,"thank god im muslim can’t mess with this corona stuff because beer is haram alhamdullilah",,,,1221219755526365184,https://twitter.com/ahaamustafa/status/1221219755526365184
2020-01-25 23:46:48,adqre,,15,50,150,"before the corona virus kills us all, does anyone wanna admit they have a crush on me",,,,1221217888008171525,https://twitter.com/adqre/status/1221217888008171525
2020-01-25 23:40:36,vicbuckss,,21,10,225,"i got the corona virus #gang",,,#gang,1221216328817823744,https://twitter.com/vicbuckss/status/1221216328817823744
2020-01-25 23:38:59,fro_vo,,0,23,114,"guy who runs the corona twitter account: congrats boys we’ve gone viral",,,,1221215919751553027,https://twitter.com/fro_vo/status/1221215919751553027
2020-01-25 23:36:15,Bruno062418,Bruno062418,3,44,69,"In wake of the Corona and Wuhan diseases? https://twitter.com/Bruno062418/status/1216540652600807424 …",,,,1221215234012205056,https://twitter.com/Bruno062418/status/1221215234012205056
2020-01-25 23:23:19,hawoaden,,2,42,323,"duke students with the flu talking about, “where’s the pregame”, mf you worried about the wrong corona",,,,1221211979571843073,https://twitter.com/hawoaden/status/1221211979571843073
2020-01-25 23:22:41,_ElisaMark,,3,26,57,"Corona virus confirmed at Sunnybrook Hospital in Toronto, please stay at home if you’re feeling unwell",,,,1221211820343595008,https://twitter.com/_ElisaMark/status/1221211820343595008
2020-01-25 23:13:00,ari_russian,,17,34,65,"China can keep their BAT soup and their Corona Virus. India News is stating they are lying about the numbers and the severity. #CoronaOutbreak",,,#CoronaOutbreak,1221209383755046918,https://twitter.com/ari_russian/status/1221209383755046918
2020-01-25 23:12:02,seoulgloss,,1,24,97,"the corona virus jokes are of extremely poor taste and y'all are losers for making them",,,,1221209140594454533,https://twitter.com/seoulgloss/status/1221209140594454533
2020-01-25 23:11:40,Aikiwomannc,,4,42,97,"News: Corona virus is spreading The sun: Virus on my what?!",,,,1221209048512716801,https://twitter.com/Aikiwomannc/status/1221209048512716801
2020-01-25 23:10:24,Sam2323_43433,,60,83,106,"Probably That's How Started The Corona-Virus In China. pic.twitter.com/eVDRh7bLce",,,,1221208727593852930,https://twitter.com/Sam2323_43433/status/1221208727593852930
2020-01-25 23:08:23,TravisAllen02,,48,90,759,"Trump thought that the coronavirus started in Mexico because it had Corona in its name",,,,1221208221207220224,https://twitter.com/TravisAllen02/status/1221208221207220224
2020-01-25 23:01:31,MrStache9,,33,24,129,"Oh oh. Corona reported in Toronto the DIVERSE!",,,,1221206493023887361,https://twitter.com/MrStache9/status/1221206493023887361
2020-01-25 23:01:10,LG_Melts,,20,4,244,"bruh the Corona Virus is apparently in Toronto and im like sick af if I die make sure my videos get on drama alert",,,,1221206403928481793,https://twitter.com/LG_Melts/status/1221206403928481793
2020-01-25 23:00:26,Hazz,,203,4,406,"Your second @got corona virus",,@got,,1221206222164000768,https://twitter.com/Hazz/status/1221206222164000768
2020-01-25 22:48:37,BlackySpeakz,,178,128,3608,"This corona virus sh^t sounds scary. Are we all gonna die soon??",,,,1221203245135204354,https://twitter.com/BlackySpeakz/status/1221203245135204354
2020-01-25 22:47:34,cryptowhale,,17,111,129,"BREAKING: Canadian government announces that the first Corona Virus Case has been confirmed in Toronto, Ontario. #CoronaOutbreak #coronarovirus #CoronaVirusToronto #Toronto #WuhanCoronavirus #Wuhanpic.twitter.com/JlvEsWLwuR",,,#CoronaOutbreak #coronarovirus #CoronaVirusToronto #Toronto #WuhanCoronavirus #Wuhanpic,1221202983695683584,https://twitter.com/cryptowhale/status/1221202983695683584
2020-01-25 22:41:44,AshDKelly,,40,175,217,"A Toronto Hospital has a presumed positive case of Corona Virus - the first in Canada as the global outbreak continues to spread. Ontarians are still at a low risk say officials at an announcement happening now. https://www.pscp.tv/w/cPy65zFEWUVYR0F5UEpnamd8MWpNSmd3UkxPT09KTNRj7u7j0mq29sJRpQ9tkxtdqF3xnVihAMNnEu4f6Y4b …",,,,1221201512472297472,https://twitter.com/AshDKelly/status/1221201512472297472
2020-01-25 22:41:22,680NEWS,,18,64,46,"#BREAKING: Ontario government confirms first possible case of corona virus in the province.",,,#BREAKING,1221201423502848000,https://twitter.com/680NEWS/status/1221201423502848000
2020-01-25 22:39:07,ItsTommyDee1,,38,768,819,"Yes... the Corona virus was INVENTED (just like AIDS) and has a PATENT Who is it patented by? THE PIRBRIGHT INSTITUTE https://patents.justia.com/patent/10130701",,,,1221200856542076929,https://twitter.com/ItsTommyDee1/status/1221200856542076929
2020-01-25 23:53:18,Iovelanguage,,0,12,39,"Scooter started the corona virus because China is Taylor’s 2nd biggest market",,,,1221219524835299328,https://twitter.com/Iovelanguage/status/1221219524835299328
2020-01-25 23:47:48,allan_k_grillMD,celliottability,0,14,11,"Here’s an up to date press conference regarding the novel corona virus. Please retweet to medical colleagues. @FamPhysCan @OntarioCollege @OntariosDoctors @CMA_Docs @canadanurses @NPAOntario @afhto @davidkaplanmd @victorng_mdhttps://twitter.com/celliottability/status/1221200724807356418 …",,@FamPhysCan @OntarioCollege @OntariosDoctors @CMA_Docs @canadanurses @NPAOntario @afhto @davidkaplanmd @victorng_mdhttps,,1221218138659999744,https://twitter.com/allan_k_grillMD/status/1221218138659999744
2020-01-25 23:46:56,enzahayz,,0,3,61,"imagine someone had the corona virus @summer gathering",,@summer,,1221217921952673792,https://twitter.com/enzahayz/status/1221217921952673792
