date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-04-11 23:59:54,NGrossman81,maggieNYT,2,70,141,"Of all the damning details in this account of Trump admin’s non-response to coronavirus, don’t sleep on “focused on the Phase One deal with China.” That trade “deal” is empty. Vapor. An agreement to work on the big issues later, done to hoodwink Americans ahead of the election. https://twitter.com/maggieNYT/status/1249121487308587009 …",,,,1249125050306957313,https://twitter.com/NGrossman81/status/1249125050306957313
2020-04-11 23:59:34,OgbeniDipo,,21,147,430,"""The UK has recorded 917 new coronavirus deaths, taking the total number of people who have died in hospital with the virus to 9,875. For the second day in a row, more than 900 deaths were recorded in hospitals."" - BBC",,,,1249124966727114752,https://twitter.com/OgbeniDipo/status/1249124966727114752
2020-04-11 23:59:18,OzraeliAvi,,65,449,1119,"#BREAKING: A city in southern China has ordered bars and restaurants not to serve customers who appear to be of African origin, citing coronavirus risk. I reckon @DrTedros owes Taiwan an apology for his baseless racism allegation. Then he should confront the CCP’s REAL racism.",,@DrTedros,#BREAKING,1249124901329477632,https://twitter.com/OzraeliAvi/status/1249124901329477632
2020-04-11 23:59:13,CNBC,,352,253,649,"Bill Gates: If I were president, this is what I would do now to fight coronavirus. (via @CNBCMakeIt)https://cnb.cx/2JVH9U9",,@CNBCMakeIt,,1249124877828788226,https://twitter.com/CNBC/status/1249124877828788226
2020-04-11 23:58:56,McguireScotty,,52,195,141,"Washington DC: April 10th POLICE ARE UNSUCCESSFUL IN TRYING TO ENFORCE SOCIAL DISTANCING IN THE PROJECTS As of 7 p.m. local time April 9, Washington, D.C. reported 1,660 confirmed cases of the new coronavirus and 38 deaths associated with it. pic.twitter.com/DzZDCuIa5a",,,,1249124808941613056,https://twitter.com/McguireScotty/status/1249124808941613056
2020-04-11 23:58:50,EddyJokovich,,66,808,2474,"So, a Minister that goes to his holiday home is sacked, but Ministers responsible for #RubyPrincess disaster with 700 #coronavirus cases and 15 deaths still have jobs. #Insiders",,,#RubyPrincess #coronavirus #Insiders,1249124782395854848,https://twitter.com/EddyJokovich/status/1249124782395854848
2020-04-11 23:58:42,OurDailyBears,thehill,14,28,212,"Coronavirus stealing James Harden’s moves, smh https://twitter.com/thehill/status/1249026694930972672 …",,,,1249124748816191498,https://twitter.com/OurDailyBears/status/1249124748816191498
2020-04-11 23:58:27,wxdam,,5,18,65,"A whole lot of churches are going to accelerate coronavirus infections in exurban/rural communities tomorrow and it's entirely preventable. Please stay home tomorrow, even if your church defies stay-at-home guidelines. And especially so if you're under a storm threat.",,,,1249124687004798976,https://twitter.com/wxdam/status/1249124687004798976
2020-04-11 23:58:21,business,,86,358,619,"Here’s the latest on the coronavirus: - U.S. deaths rise above 20,000 - The Pentagon will fund N95 mask production - The pace of fatalities slows in Spain, France and Germany https://trib.al/teAl8bM",,,,1249124662304481280,https://twitter.com/business/status/1249124662304481280
2020-04-11 23:58:03,ABC7,,1,45,252,"105TH BIRTHDAY: Lt. Colonel Sam Sachs was going to go all out for the milestone birthday, but his plans were thwarted by the coronavirus pandemic. Now, he's asking for cards. https://abc7.la/2Xx958T",,,,1249124587541073920,https://twitter.com/ABC7/status/1249124587541073920
