date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-21 23:58:40,Zotopek,BetteMidler,29,25,349,"Come November Asian Americans need to remember #Trump put their name on this pandemic @AndrewYang needs to make sure his community doesn't forget. Trump risks their lives every time he stereo types CODVID 19, make him pay.",,@AndrewYang,#Trump,1241514596470370304,https://twitter.com/Zotopek/status/1241514596470370304
2020-03-21 23:52:19,cjwerleman,,2,20,36,"Racist fearmongering about the coronavirus is putting Asian-Americans at risk. https://www.mediamatters.org/coronavirus-covid-19/anti-asian-bigotry-and-anti-immigrant-policies-take-center-stage-right-wing …pic.twitter.com/rfSRa2G4yP",,,,1241512996452454400,https://twitter.com/cjwerleman/status/1241512996452454400
2020-03-21 23:45:34,RafaWildNature,,1,42,106,"Central Asian Landscape! pic.twitter.com/O1MKEHXzOt",,,,1241511298027978753,https://twitter.com/RafaWildNature/status/1241511298027978753
2020-03-21 23:44:55,iamAtheistGirl,,2,8,34,"asian people who have never even been to china are getting punched in the face by random strangers because trump’s muricah. trump is the virus voting is the cure #VoteBlue2020pic.twitter.com/U0yMiGdgk7",,,#VoteBlue2020pic,1241511133875523585,https://twitter.com/iamAtheistGirl/status/1241511133875523585
2020-03-21 23:42:35,Mannythfc,ausnoff,8,11,85,"Rashford scores 7 pens this season & they compared to Mané, Salah, Son etc Son is a symbol for a nation and easily the best Asian player of all time If anyone compares Rashford to Son they know absolutely nothing about Football",,,,1241510546945368066,https://twitter.com/Mannythfc/status/1241510546945368066
2020-03-21 23:39:17,FreeThinkerAng,stillgray,31,101,418,"Black on Asian violence is covered up a lot because it doesn’t fit the White Supremacist narrative https://twitter.com/stillgray/status/1241468535534043136 …",,,,1241509715772952576,https://twitter.com/FreeThinkerAng/status/1241509715772952576
2020-03-21 23:36:33,writeclimbrun,,7,2,73,"some Saturday night additions to my usual Japanese curry comfort food: - sesame oil and shaoxing rice wine marinated fresh chicken thighs - roasted garlic and caramelized sweet onion - raw honey sweetener - bok choy from Asian grocer - classic daiquiri served up in coupe glass pic.twitter.com/rtFNutPF8m",,,,1241509028217401344,https://twitter.com/writeclimbrun/status/1241509028217401344
2020-03-21 23:31:31,WildPalmsLtd,,44,228,318,"It's no accident. You can read the ugly details if you're a glutton for punishment. But the right wing press has been linking #COVID19 to China at every opportunity, firing up the racists to verbally and even physically assault Asian-Americans. https://slate.com/news-and-politics/2020/03/trump-calling-coronavirus-chinese-virus.html …",,,#COVID19,1241507761432780801,https://twitter.com/WildPalmsLtd/status/1241507761432780801
2020-03-21 23:25:06,CNNPolitics,,219,104,426,"Congress' Asian Pacific American caucus chair: It's dangerous for President Trump to call the coronavirus ""the Chinese virus"" https://cnn.it/398xZ0L pic.twitter.com/Uj5L9WETeH",,,,1241506149888860162,https://twitter.com/CNNPolitics/status/1241506149888860162
2020-03-21 23:24:03,harleysandguns,chicagosmayor,13,8,103,"Hey Gary Coleman, it is the Chinese virus. It came from China. Why are you blanketing the ""Asian"" community with the nation of China's bad judgement? That addition of race seems REALLY RACIST to me...",,,,1241505884808904705,https://twitter.com/harleysandguns/status/1241505884808904705
