date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-01-31 23:59:17,Fxhedgers,,2,23,44,"[RTRS] 31 Jan - CHINA'S TIANJIN CITY SAYS ALL SCHOOLS, NON-ESSENTIAL COMPANIES WILL REMAIN CLOSED UNTIL FURTHER NOTICE TO CURB CORONAVIRUS - STATE MEDIA that means closed until March",,,,1223395356794216450,https://twitter.com/Fxhedgers/status/1223395356794216450
2020-01-31 23:57:22,PapiGing,,1,2,83,"China sounds like the move, can’t wait",,,,1223394876974411776,https://twitter.com/PapiGing/status/1223394876974411776
2020-01-31 23:57:08,PeterHotez,,5,21,59,"In my latest @FoxNews op ed, I explain how cases of #nCoV will increase in US, but only modestly. Nothing near the situation we’re seeing in China. We’ll be fine (except for #influenza)https://www.foxnews.com/opinion/a-tale-of-3-nations-peter-hotez …",,@FoxNews,#nCoV #influenza,1223394814630252544,https://twitter.com/PeterHotez/status/1223394814630252544
2020-01-31 23:56:50,HongKongFP,,2,29,45,"[Recap] Coronavirus: a product of China’s food safety, healthcare and politics https://www.hongkongfp.com/2020/01/31/coronavirus-product-chinas-food-safety-healthcare-politics … #China #HongKong #coronarviruspic.twitter.com/BfR2eSNegO",,,#China #HongKong #coronarviruspic,1223394739426340864,https://twitter.com/HongKongFP/status/1223394739426340864
2020-01-31 23:54:12,Sophiemcneill,30minuts,3,44,88,"Our @4corners report on the horrors of China’s mass interment program in #Xinjiang will air this weekend in Barcelona @30minutshttps://twitter.com/30minuts/status/1223153946765578242 …",,@4corners @30minutshttps,#Xinjiang,1223394079167246336,https://twitter.com/Sophiemcneill/status/1223394079167246336
2020-01-31 23:53:18,GordonGChang,WeTheBrandon,12,95,209,"You got that right, @WeTheBrandon. The less we have to do with a militant #China attacking our political system, stealing our tech, injuring our service members and diplomats, and now spreading disease to our shores the better. https://twitter.com/WeTheBrandon/status/1223389194787135488 …",,@WeTheBrandon,#China,1223393852658278401,https://twitter.com/GordonGChang/status/1223393852658278401
2020-01-31 23:53:00,cenkuygur,,155,493,2075,"If Senate will not call witnesses - and 75% of Americans want to hear from witnesses - the House should call them! How? Start #NewImpeachment. Proceed from strength. Bolton says Trump family might've gotten personal benefits from China or Turkey. Are we just going to let that go?",,,#NewImpeachment,1223393776376246273,https://twitter.com/cenkuygur/status/1223393776376246273
2020-01-31 23:51:31,CBSEveningNews,,23,95,101,"CBS NEWS INVESTIGATES: Millions of surgical gowns made in China are being recalled over concerns that they may not be sterile. “This is a big disruption” to hospitals who’ve been forced to reschedule hundreds of surgeries. @DrLaPook Reports https://cbsn.ws/2u8ARMK pic.twitter.com/4jiLIJoyjy",,@DrLaPook,,1223393401200173059,https://twitter.com/CBSEveningNews/status/1223393401200173059
2020-01-31 23:51:24,LeanneAbb,,8,23,133,"WHY ARE FLIGHTS STILL LEAVING CHINA AND PEOPLE NOT BEING QUARANTINED FROM THEM.. infecting people like it’s not a fucking issue.. #coronavirus pic.twitter.com/PoPKpTyVHr",,,#coronavirus,1223393374948003846,https://twitter.com/LeanneAbb/status/1223393374948003846
2020-01-31 23:50:44,unseen1_unseen,,39,221,461,"The left lost on Russian hoax The left lost on Mueller time The left lost on impeachment The left lost on holding articles The left lost on witnesses The left lost on USMCA The left lost on China The left lost on the wall The left lost on border The left has lost on everything",,,,1223393204449529857,https://twitter.com/unseen1_unseen/status/1223393204449529857
