date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-04-11 23:53:30,DRC71657897,KarynSpence,16,7,117,"I’ll make this as simple as I can for you. The corona virus killed those people. China could have stopped it but they chose not to. Fools like you make it easier for them to get away with it.",,,,1249123440323375105,https://twitter.com/DRC71657897/status/1249123440323375105
2020-04-11 23:53:11,USlawreview,,53,183,513,"I taped & watched the local & national News tonight. Both were nothing but nonstop fear mongering propaganda full of lies, distortions, half truths and a complete lack of any balance or perspective.The conspiracy to gin fear between media & govt on this corona event is criminal.",,,,1249123361105612801,https://twitter.com/USlawreview/status/1249123361105612801
2020-04-11 23:52:54,NathPribady,,1,46,116,"FACT: - Unemployment in the US during corona soared past 6,6 millions per 9th of April https://www.businessinsider.com/us-weekly-jobless-claims-unemployment-filings-labor-market-coronavirus-recession-2020-4 … - Unemployment in Indonesia during corona has reached 150.000 people per 12th of April https://money.kompas.com/read/2020/04/12/062842226/menaker-akibat-corona-150000-pekerja-kena-phk …",,,,1249123289563357185,https://twitter.com/NathPribady/status/1249123289563357185
2020-04-11 23:51:09,_mockaa,,0,44,37,"This corona shit really got me depressed",,,,1249122847873736705,https://twitter.com/_mockaa/status/1249122847873736705
2020-04-11 23:50:46,josh_cable12,,1,3,45,"I can’t get corona.. I’ve already been sent to the gulag",,,,1249122752386269184,https://twitter.com/josh_cable12/status/1249122752386269184
2020-04-11 23:49:39,JaqubAjmal,,18,12,135,"I read that there are several submarine crews around the world that went to sea before the Corona crisis that don’t have a clue of what’s been going on. Because they keep information away from them to maintain morale onboard. I wonder how they will react when they find out.",,,,1249122472290639873,https://twitter.com/JaqubAjmal/status/1249122472290639873
2020-04-11 23:48:57,notStMarysMD,,1,15,91,"We refuse to let Corona interfere with St. Mary's traditions. Students, check you mailbox tomorrow. You will find one of the many empty beer cans Public Safety confiscated from the last Natty Boh hunt. May our traditions never die.",,,,1249122295576133632,https://twitter.com/notStMarysMD/status/1249122295576133632
2020-04-11 23:48:44,wyatt_privilege,,1,8,65,"if corona is a hoax explain this pic.twitter.com/qDFCuwBa8v",,,,1249122239544524800,https://twitter.com/wyatt_privilege/status/1249122239544524800
2020-04-11 23:48:41,cold_brewja,asolezz,1,146,446,"i wish we talked about environmental racism the same way we talk about corona https://twitter.com/asolezz/status/1249065891674947584 …",,,,1249122227825541121,https://twitter.com/cold_brewja/status/1249122227825541121
2020-04-11 23:46:53,justafoundsoul,Bomboclaato,1,22,122,"When she think it’s corona virus symptoms but it’s morning sickness. https://twitter.com/Bomboclaato/status/1249120470055686144 …",,,,1249121776719798272,https://twitter.com/justafoundsoul/status/1249121776719798272
2020-04-11 23:46:10,_Smariaaa,,5,52,236,"My entire family has corona. mom dad sister grandma and nana. We did EVERYTHING to be safe but my dad works in a hospital. Im fucking pissed that IDIOTS are still hanging out with 1 or more fucking friends while im worried abt my entire family dying. Ur reckless fucking assholes.",,,,1249121593185484800,https://twitter.com/_Smariaaa/status/1249121593185484800
2020-04-11 23:45:49,CoachRobertVal,,18,38,226,"Here is a glimpse of our 2019 LHSAA Class 3A State Championship Rings. This Corona Virus pandemic has slowed the production of our rings due to quarantine orders. Can’t wait to get back to normal, so we can work on earning another one. You’ll know when we get them. Stay safe!!!! pic.twitter.com/9nSwgh5s2t",,,,1249121507499966467,https://twitter.com/CoachRobertVal/status/1249121507499966467
2020-04-11 23:44:42,junswrId,,11,0,106,"HAHAHAH the blurb for my talk is on the ted website but idk when the actual ted talk is gonna be uploaded it’s supposed to take a little while to go through the tedx editors but idk when it’ll be up now bc corona pic.twitter.com/RcdqbGlcUm",,,,1249121225479159814,https://twitter.com/junswrId/status/1249121225479159814
2020-04-11 23:44:40,iMusing,,1,6,66,"more talk about easing restrictions or whatever. No vaccine has been found for any corona virusgovernments will need to start making decisions, says Speers. The inconsistencies make it harder to maintain the social consensus says Epstein. #Insiders",,,#Insiders,1249121215756845057,https://twitter.com/iMusing/status/1249121215756845057
2020-04-11 23:44:19,MaybeAmes,,54,116,440,"Wouldn't it be great if Trump started playing his ""rally music"" before the start of his Corona press briefings? Imagine Lee Greenwood's ""Proud to be an American"" blasting as he walks out, waving to the press God, I wish that would happen",,,,1249121131572932609,https://twitter.com/MaybeAmes/status/1249121131572932609
2020-04-11 23:42:45,SmaulGreanman,,3,11,119,"hope corona gets my gay ass mom and dad. kids rule!",,,,1249120734238121984,https://twitter.com/SmaulGreanman/status/1249120734238121984
2020-04-11 23:41:19,Donsvess,,13,14,64,"ABC now obviously starting to agitate for relaxing Corona restrictions. That is undermining the Government's authority, not to mention promoting a health catastrophe. I call that unconscionable conduct!!!!!!",,,,1249120375448965122,https://twitter.com/Donsvess/status/1249120375448965122
2020-04-11 23:40:39,HoodHalle,,13,17,407,"My dad beat Corona Virus (Cardi voice)",,,,1249120207400034305,https://twitter.com/HoodHalle/status/1249120207400034305
2020-04-11 23:40:23,p0sitivekhidd,,1,3,61,"Can we start a Corona Cut-Thread because this virus trying to keep Black Kings from thriving pic.twitter.com/rNjCQcxDLh",,,,1249120138986749953,https://twitter.com/p0sitivekhidd/status/1249120138986749953
2020-04-11 23:39:52,Asli_Arunima,,15,47,138,"Corona Jihad If you want to avoid Corona. Keep a distance of 1 Meter From Humans. And 1 kilometre from Godi Media",,,,1249120009496006657,https://twitter.com/Asli_Arunima/status/1249120009496006657
2020-04-11 23:58:57,JonnyFisch,,0,2,12,"Put this under things I never said until corona quarantine... ""Gonna wear my Saturday night shorts""",,,,1249124812531929089,https://twitter.com/JonnyFisch/status/1249124812531929089
2020-04-11 23:56:30,El_fez_,,3,10,11,"BeniJANas pop-up today If you lost your job due to the corona virus come get free tacos If you work in the medical field come get free tacos If you fwm COME GET FREE TACOS While supplies last pic.twitter.com/LcTAV583Eh",,,,1249124195235246081,https://twitter.com/El_fez_/status/1249124195235246081
2020-04-11 23:55:32,Coach_EWood,,1,2,11,"Took sometime over the last few days to learn more about the Atavus @AtavusFootball Tackling system and get my level 1 certification. I’m excited to get my staff involved and incorporate this program with @EaglesNaf football team. Hopefully, #Corona won’t hold us back... pic.twitter.com/sD9waYD4Hw",,@AtavusFootball @EaglesNaf,#Corona,1249123953857253378,https://twitter.com/Coach_EWood/status/1249123953857253378
2020-04-11 23:55:01,OlanikeSalau,,2,8,22,"God please heal Nigeria of Corona Virus so that the lockdown can be lifted and people can go out to work and earn money. This is getting too much",,,,1249123820847407104,https://twitter.com/OlanikeSalau/status/1249123820847407104
2020-04-11 23:54:20,FiveeePF,camboozy,0,11,42,"The list of things I’ve done since corona started https://twitter.com/camboozy/status/1248717889122840579 …",,,,1249123649958883328,https://twitter.com/FiveeePF/status/1249123649958883328
2020-04-11 23:54:02,ElenaBateman,,6,0,177,"thought 2020 would be great but all we got was queer baiting and corona cba",,,,1249123576252370945,https://twitter.com/ElenaBateman/status/1249123576252370945
2020-04-11 23:52:38,MichaelOAmpofo,,0,2,10,"Corona the evil you’ve done is enough pic.twitter.com/z5RfmHDWQy",,,,1249123223582769155,https://twitter.com/MichaelOAmpofo/status/1249123223582769155
2020-04-11 23:49:48,AngeloJohnGage,,2,6,30,"People don't understand why I'm neutral on some things, even if #5G is harmless and has nothing to do with #Corona, I'm still against forced vaccinations and digital certificates where we can be tracked and monitored. So the details are irrelevant as the outcomes are the same.",,,#5G #Corona,1249122509523423232,https://twitter.com/AngeloJohnGage/status/1249122509523423232
