date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-04-04 23:59:50,CBSNews,,41,40,97,"New York Governor Andrew Cuomo says state not ready for ""high point,"" as coronavirus death toll rises https://cbsn.ws/2XdzQiv pic.twitter.com/AOfLr76ohq",,,,1246588318646767616,https://twitter.com/CBSNews/status/1246588318646767616
2020-04-04 23:59:46,TheDamaniFelder,,38,71,651,"It's funny how black liberals (aka ideological slaves) attack me online and tell me I'm ""not invited to the cookout"". Y'all ain't having cookouts anyway during this Coronavirus lockdown. I ain't missing a damn thing. Period.",,,,1246588300724297728,https://twitter.com/TheDamaniFelder/status/1246588300724297728
2020-04-04 23:59:20,BrianZahnd,,14,23,355,"1,224 coronavirus deaths in America today. Today! Lord, have mercy.",,,,1246588193803325440,https://twitter.com/BrianZahnd/status/1246588193803325440
2020-04-04 23:59:17,Barnes_Law,,27,161,275,"Taiwan enjoys extraordinary success containing #coronavirus without imposing any shutdown on civil society or the economy. https://mises.org/wire/why-taiwan-hasnt-shut-down-its-economy …",,,#coronavirus,1246588182545776642,https://twitter.com/Barnes_Law/status/1246588182545776642
2020-04-04 23:59:01,NAChristakis,,27,137,779,"Captain Crozier Saved His Crew From Coronavirus. He Is a Hero. It is difficult to do the right thing when one must pay a personal price. But of course we expect our soldiers to die, so they are clearly prepared. I have great respect for Captain Crozier. https://www.nytimes.com/2020/04/03/opinion/coronavirus-crozier-roosevelt.html …",,,,1246588113624989696,https://twitter.com/NAChristakis/status/1246588113624989696
2020-04-04 23:58:22,ABC7NY,,5,38,46,"Coronavirus Update: NYPD announces deaths of 2 more of its own as almost 19% of their uniformed workforce is out sick https://7ny.tv/2X9BbGZ",,,,1246587951905148929,https://twitter.com/ABC7NY/status/1246587951905148929
2020-04-04 23:58:02,malaysiakini,,3,45,189,"Number of coronavirus intensive care patients in Italy drops for first time https://www.malaysiakini.com/news/518840 pic.twitter.com/2Z1tl8AiuK",,,,1246587868539047936,https://twitter.com/malaysiakini/status/1246587868539047936
2020-04-04 23:57:55,washingtonpost,,56,144,243,"In New York City, a funeral home’s struggles with mounting deaths from the coronavirus pandemic hints at what’s to come across the United States https://wapo.st/2JD3BRT",,,,1246587837543256069,https://twitter.com/washingtonpost/status/1246587837543256069
2020-04-04 23:56:53,CaliTrumpLady,,6,167,158,"The #CDC has known for years that this is an effective treatment for Coronavirus. YEARS. https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1232869/ …",,,#CDC,1246587576250560512,https://twitter.com/CaliTrumpLady/status/1246587576250560512
2020-04-04 23:56:26,globeandmail,,1,34,112,"In Canada’s coronavirus fight, front-line workers miss their families, fear the worst and hope they’re ready. Dr. Kanna Vela shares her story as one of many who is in isolation from her loved ones while she treats patients at work pic.twitter.com/iyHqWVlpXc",,,,1246587464082391040,https://twitter.com/globeandmail/status/1246587464082391040
