date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-01-25 20:13:32,InfectiousDz,,1,30,46,"""Broad-spectrum antivirals, such as remdesivir, an RNA polymerase inhibitor, as well as lopinavir/ritonavir + interferon beta have shown promise against MERS-CoV in animal models and are being assessed for activity against 2019-nCoV"" - Anthony Fauci et al https://jamanetwork.com/journals/jama/fullarticle/2759815 …",,,,1221164217304109058,https://twitter.com/InfectiousDz/status/1221164217304109058
2020-01-25 20:03:03,RMKGandhi,maunankshah1,2,12,21,"Testing of ritonavir-lopinavir for CoV is mentioned in an article by Dr Fauci in JAMA and in the Lancet 2109 nCoV editorials from yesterday. https://twitter.com/maunankshah1/status/1221096950042451968 …",,,,1221161579560960000,https://twitter.com/RMKGandhi/status/1221161579560960000
2020-01-25 16:30:00,JAMA_current,,0,63,81,"The 2020 Coronavirus Outbreak – What We Know So Far A #live conversation between Dr. Anthony Fauci ( @NIAIDNews) & JAMA editor Howard Bauchner 17:00 CST on Mon, Jan 27. Read Dr. Fauci’s Coronavirus viewpoint. #coronavirusoutbreak #publichealth #2019nCoV https://ja.ma/2U1llN0",,@NIAIDNews,#live #coronavirusoutbreak #publichealth #2019nCoV,1221107964037169153,https://twitter.com/JAMA_current/status/1221107964037169153
2020-01-25 13:01:20,NIHDirector,,11,61,137,"Partnering with @HHSgov & @CDCgov, #NIH is working quickly to respond to the outbreak of Wuhan coronavirus. @NIAIDnews Dr. Anthony Fauci says we will build on previous CoVs research to develop a vaccine ready for early human testing in the coming months https://bit.ly/30Swn8X",,@HHSgov @CDCgov @NIAIDnews,#NIH,1221055453716713474,https://twitter.com/NIHDirector/status/1221055453716713474
2020-01-25 08:30:46,GaviSeth,,0,5,16,"Good review of Coronavirus Infections—More Than Just the Common Cold from Tony Fauci & colleagues https://ja.ma/2RK8TyC",,,,1220987361473040385,https://twitter.com/GaviSeth/status/1220987361473040385
2020-01-24 16:58:36,elwasson,,3,21,19,"US is on verge of confirming 3rd case of Wuhan virus, officials tell senators. Say public shouldn't overreact however. “I think the risk for the American public is very low, “ says NIH's Anthony Fauci. “So far the response has been adequate and successful”",,,,1220752774176104448,https://twitter.com/elwasson/status/1220752774176104448
2020-01-24 02:58:43,RMKGandhi,,0,9,22,"This is an incredibly useful primer on coronovirus infections by the inimitable Dr. Fauci. Provides a sober analysis and context for a rapidly evolving story. Coronavirus Infections—More Than Just the Common Cold | Global Health | JAMA | JAMA Network https://jamanetwork.com/journals/jama/fullarticle/2759815 …",,,,1220541411164114945,https://twitter.com/RMKGandhi/status/1220541411164114945
2020-01-24 01:12:17,LouDobbs,,16,239,509,"Killing the Coronavirus: Dr. Anthony Fauci on what’s being done to stop a worldwide pandemic. #AmericaFirst #MAGA #Dobbspic.twitter.com/izTQnSCEWR",,,#AmericaFirst #MAGA #Dobbspic,1220514624090656768,https://twitter.com/LouDobbs/status/1220514624090656768
2020-01-23 22:08:55,gzeromedia,,1,6,5,"Why is China quarantining cities with millions of residents? As Anthony Fauci explained, in many ways, a respiratory disease is far more dangerous than Ebola. Watch the full GZERO World episode: https://www.gzeromedia.com/worried-sick pic.twitter.com/djYqyrieXo",,,,1220468479289122817,https://twitter.com/gzeromedia/status/1220468479289122817
2020-01-23 20:44:52,FranciscoMarty_,,0,29,44,"Excellent perspective on human #Coronavirus Infectious diseases of this century by Drs. @CatharinePaules, Hilary Marston, and Tony Fauci @NIH. #2019nCoV #WuhanCoronavirus . @NIHDirector . @IDSAInfo . @PreetiNMalani . @CarlosdelRio7 . @onisillos . @InfectiousDz https://ja.ma/2GkubxE",,@CatharinePaules @NIH @NIHDirector @IDSAInfo @PreetiNMalani @CarlosdelRio7 @onisillos @InfectiousDz,#Coronavirus #2019nCoV #WuhanCoronavirus,1220447327019814912,https://twitter.com/FranciscoMarty_/status/1220447327019814912
2020-01-23 16:19:20,ABsteward,,2,28,51,"NEW @JAMA_current @CatharinePaules @HilaryMarston Dr. Fauci @NIAIDNews @PennState Coronavirus Infections—More Than Just the Common Cold. #nCoV2019 #WuhanPneumonia #IDtwitter @IDSAInfo @TAEscmid @jonotter @CarlosdelRio7 @JAMAInternalMed #medtwitter https://ja.ma/2RKhUrp",,@JAMA_current @CatharinePaules @HilaryMarston @NIAIDNews @PennState @IDSAInfo @TAEscmid @jonotter @CarlosdelRio7 @JAMAInternalMed,#nCoV2019 #WuhanPneumonia #IDtwitter #medtwitter,1220380503439761409,https://twitter.com/ABsteward/status/1220380503439761409
2020-01-23 16:00:01,JAMA_current,,3,80,69,"Fauci ( @NIAIDNews) on the novel #Coronavirus (n-CoV) rapidly spreading: it appears to have a lower fatality rate than SARS- and MERS-CoV; the prospect of an epidemic is unclear. Public health measures (eg isolation) are primary defense #CoronavirusOutbreak https://ja.ma/2TPRdnT",,@NIAIDNews,#Coronavirus #CoronavirusOutbreak,1220375643352944640,https://twitter.com/JAMA_current/status/1220375643352944640
2020-01-23 13:24:36,AmericaNewsroom,,11,5,20,"THE SHOW: @TomCottonAR @MZanona @SenBobCasey @TrustyLawyer @RepMarkMeadows @RealDocSoos @LisaMarieBoothe @lizpeek @cvpayne @brettlarson Richard Goodstein @laurenclaffey Dr. Anthony Fauci @MercedesColwin John Yoo @jimmyfailla @Jared_Max #nine2noon @SandraSmithFox @edhenry",,@TomCottonAR @MZanona @SenBobCasey @TrustyLawyer @RepMarkMeadows @RealDocSoos @LisaMarieBoothe @lizpeek @cvpayne @brettlarson @laurenclaffey @MercedesColwin @jimmyfailla @Jared_Max @SandraSmithFox @edhenry,#nine2noon,1220336530213961728,https://twitter.com/AmericaNewsroom/status/1220336530213961728
2020-01-23 13:12:21,MedResJourno,ScottGottliebMD,4,10,18,"Dr. Fauci indeed confirmed to me they have no samples of the novel Coronavirus, which they would need to develop animal models and see if the drugs work. But w/ U.S. case, NIH probably doesn’t have to wait for the Chinese and can get it from the CDC now, he said. https://twitter.com/ScottGottliebMD/status/1220326176247492608 …",,,,1220333449485201408,https://twitter.com/MedResJourno/status/1220333449485201408
2020-01-22 22:43:37,NIH_OAR,,1,28,44,"#BreakingNews: NIH-Supported Scientists Reverse #HIV and SIV Latency in Two Animal Models. Dr. Anthony S. Fauci, director of #NIAID, part of @NIH says “These new findings help sustain our cautious optimism that an HIV cure is possible.” Learn more at https://www.niaid.nih.gov/news-events/nih-supported-scientists-reverse-hiv-and-siv-latency-two-animal-models …",,@NIH,#BreakingNews #HIV #NIAID,1220114824845242375,https://twitter.com/NIH_OAR/status/1220114824845242375
2020-01-22 14:50:00,trtworld,,1,11,17,"We need to contain coronavirus from China so it doesn't end up like SARS epidemic almost two decades ago, says Anthony Fauci, an expert on viruses pic.twitter.com/DRiTDBnrfM",,,,1219995633982902272,https://twitter.com/trtworld/status/1219995633982902272
2020-01-22 01:40:23,jeff_cranmer,,1,14,13,"$MRNA, $NVAX (up 70%) among U.S. biotechs working on Wuhan virus -- but vaccine at least a year out. @BioCentury's @steveusdin1 speaks with @NIAIDNews's Fauci among others on the latest: https://www.biocentury.com/bc-extra/preclinical-news/2020-01-21/moderna-novavax-among-biotechs-working-wuhan-virus-vaccine- …",,@BioCentury @steveusdin1 @NIAIDNews,,1219796920790466565,https://twitter.com/jeff_cranmer/status/1219796920790466565
2020-01-22 00:32:15,LouDobbs,,79,391,613,"Deadly Virus Spreads. Dr. Anthony Fauci says the Coronavirus could turn into an epidemic. #AmericaFirst #MAGA #Dobbspic.twitter.com/hu5jpOrzQW",,,#AmericaFirst #MAGA #Dobbspic,1219779776363335682,https://twitter.com/LouDobbs/status/1219779776363335682
2020-01-20 08:39:09,rosemaryCNN,,0,12,27,"A new strain of the #coronavirus has Asian nations on edge, as it spreads from #Wuhan in #China to #SouthKorea I speak with Dr. Anthony Fauci of @NIAIDNews to get more information on what's going on.pic.twitter.com/ZNvbzZS0t4",,@NIAIDNews,#coronavirus #Wuhan #China #SouthKorea,1219177531326324736,https://twitter.com/rosemaryCNN/status/1219177531326324736
2020-01-25 23:50:17,BioPharmaMike,,2,11,12,"Commentary in @JAMA_current by @NIAIDNews Anthony Fauci and colleagues highlights how #Wuhan #coronavirus reinforces need for continuous epidemic preparedness: Coronavirus Infections—More Than Just the Common Coldhttps://ja.ma/38DU6MF",,@JAMA_current @NIAIDNews,#Wuhan #coronavirus,1221218766354374656,https://twitter.com/BioPharmaMike/status/1221218766354374656
2020-01-25 18:04:12,JAMA_current,,3,36,30,"The 2020 #CoronavirusOutbreak – What We Know So Far A #live conversation between Dr. Anthony Fauci ( @NIAID) & JAMA editor Howard Bauchner 17:00 CST on Mon, Jan 27. Link to livestream in bio. https://ja.ma/2NYkwke pic.twitter.com/XYZv8jlO4u",,@NIAID,#CoronavirusOutbreak #live,1221131671682125825,https://twitter.com/JAMA_current/status/1221131671682125825
2020-01-25 14:01:53,kathy_kitsona,,0,2,3,"Well look, it’s our old “friend” Anthony Fauci, declaring there will be a vaccine in three months. These people are quite literally mad scientists and they are responsible for this outbreak. They are manipulating the public with fear & coercion https://www.washingtonpost.com/science/2020/01/24/scientists-are-unraveling-chinese-coronavirus-with-unprecedented-speed-openness/ …",,,,1221070688968237057,https://twitter.com/kathy_kitsona/status/1221070688968237057
2020-01-25 05:04:48,SEAsiaTraveler,,1,1,4,"National Institute of Allergy and Infectious Diseases director Anthony Fauci discusses #coronavirus.A respiratory infection is almost certainly transmitted through droplets. It’s closer to SARS than it is to MERS.We’ve already started to develop a vaccinehttps://www.scientificamerican.com/article/infectious-disease-expert-discusses-what-we-know-about-the-new-virus-in-china1/ …",,,#coronavirus,1220935527496445952,https://twitter.com/SEAsiaTraveler/status/1220935527496445952
2020-01-25 03:15:00,wjz,,0,2,5,"Two cases of the coronavirus have been confirmed in the United States—in Seattle and in Chicago—but Dr. Anthony Fauci of the Maryland-based National Institutes of Health says the danger here is low. https://cbsloc.al/38Ejylo",,,,1220907897133158402,https://twitter.com/wjz/status/1220907897133158402
2020-01-25 00:10:26,SteveScottNEWS,,0,1,3,"AUDIO: @MikeWallaceWCBS and I got a live update on the spread of #Coronavirus from Dr. Anthony Fauci on @wcbs880.https://omny.fm/shows/880-extras/fauci-on-coronavirus-we-really-need-to-watch-it …",,@MikeWallaceWCBS @wcbs880,#Coronavirus,1220861448219394050,https://twitter.com/SteveScottNEWS/status/1220861448219394050
2020-01-24 18:20:14,Alexruoff,MedResJourno,3,3,2,"Health officials told senators today more cases will be found but so far all ppl who were in China. ""I wouldn't be surprised if there are additional cases beyond the three and even more because there is a large volume of travel still coming in from that are,"" Anthony Fauci said. https://twitter.com/MedResJourno/status/1220770744336113665 …",,,,1220773319865257991,https://twitter.com/Alexruoff/status/1220773319865257991
