date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-21 23:59:43,jonlionfineart2,,30,209,420,"Ask and you shall receive! I received several requests for signed prints of my Dr. Fauci charcoal/pencil drawing So they are now available at my sale price Order here: https://jonlionartist.com/product/dr-fauci-facepalm/ … Now, more than ever: RETWEET AND SUPPORT THE ARTS #SupportArtists #DrFaucipic.twitter.com/iJsbyBUWNL",,,#SupportArtists #DrFaucipic,1241514858836787200,https://twitter.com/jonlionfineart2/status/1241514858836787200
2020-03-21 23:59:10,slooterman,TPM,17,29,159,"Is anyone else a little nervous that Trump's going to try to fire Dr. Fauci? https://twitter.com/TPM/status/1241512199731978241 …",,,,1241514720345104389,https://twitter.com/slooterman/status/1241514720345104389
2020-03-21 23:55:26,EricColumbus,HowardMortman,83,2321,10949,"Your occasional reminder that Anthony Fauci has held one job since 1984. https://twitter.com/HowardMortman/status/1241494707919892486 …",,,,1241513780762365952,https://twitter.com/EricColumbus/status/1241513780762365952
2020-03-21 23:51:54,rwyeh,,3,8,44,"Candid comments from Dr Fauci on his relationship with POTUS. By @maureendowd Thank God the Doctor Is Inhttps://nyti.ms/3brNm6f",,@maureendowd,,1241512893226594312,https://twitter.com/rwyeh/status/1241512893226594312
2020-03-21 23:51:03,RevDrBarber,atrupar,27,166,686,"Dr Fauci, don’t start defending Trump. He is not speaking hope; he is selling snake oil. https://twitter.com/atrupar/status/1241433814867443714?s=21 …",,,,1241512677467447307,https://twitter.com/RevDrBarber/status/1241512677467447307
2020-03-21 23:50:13,SamSanderson123,DavidCornDC,15,50,479,"FFS this poor guy is in his 70s and is all that is standing between us and the looming disaster. I'm sure he's thinking he is there to try and save us as much as he can. Fauci is a hero And MSM needs to stop airing these ""pressers"". Stop it.",,,,1241512469371199488,https://twitter.com/SamSanderson123/status/1241512469371199488
2020-03-21 23:49:09,TPM,,7,36,80,"Dr. Fauci Refutes Trump’s Denial Of Medical Supply Shortage: ‘It Is Happening’ https://talkingpointsmemo.com/news/dr-fauci-refutes-trumps-denial-of-medical-supply-shortage-it-is-happening …pic.twitter.com/p4g7baWwbH",,,,1241512199731978241,https://twitter.com/TPM/status/1241512199731978241
2020-03-21 23:46:53,RoscoeBDavis1,,1,50,143,"Jan 29th President Trump forms is COVID-19 task force chaired by VP Pence, and headed by Alex Azar, Dr. Deborah Birx, Dr. Anthony Fauci, Dr. Robert R. Redfield, Surgeon Gen. Dr. Jerome Adams, Dr. Ben Carson,",,,,1241511631231868928,https://twitter.com/RoscoeBDavis1/status/1241511631231868928
2020-03-21 23:46:35,chrisan51147433,DavidCornDC,14,20,159,"You know trump wants to fire Fauci as bad as he wanted to fire mueller. Trump can't even mean tweet Fauci like he did Mueller! It is driving trump CRAZY. I give fauci another month before he ""resigns.""",,,,1241511554329255936,https://twitter.com/chrisan51147433/status/1241511554329255936
2020-03-21 23:45:01,nytopinion,,13,96,244,"""I don’t want to act like a tough guy, like I stood up to the president. I just want to get the facts out. And instead of saying, ‘You’re wrong,’ all you need to do is continually talk about what the data are and what the evidence is,"" says Dr. Fauci https://nyti.ms/2UlIfNS",,,,1241511159313977344,https://twitter.com/nytopinion/status/1241511159313977344
2020-03-21 23:35:25,JilTweet,AdamMilstein,12,20,101,"Fauci is part of the globalist establishment. President Trump should add some fresh medical professionals to the task force who consider new innovative ways of medical treatments. Fauci is a harden dinosaur who thinks he knows it all.",,,,1241508743860424704,https://twitter.com/JilTweet/status/1241508743860424704
2020-03-21 23:33:24,paulsperry_,,92,889,1638,"Elitist, naysaying, Hillary-loving bureaucrats like Dr. Fauci of NIH are gumming up the works & we don't have time for their tsk-tsking. Let's roll out these new treatments ASAP, especially for COVID-19 patients with worsening pneumonia. Like POTUS says, what do we have to lose?",,,,1241508236391563271,https://twitter.com/paulsperry_/status/1241508236391563271
2020-03-21 23:30:24,MaybeAmes,,2,21,25,"A look back at what Fauci and his colleagues did during their decades of pushing fear and the spending of billions of dollars of funding for HIV-AIDS is instructive. https://www.americanthinker.com/blog/2020/03/anthony_fauci_the_nihs_face_of_the_coronavirus_is_a_deepstate_hillary_clintonloving_stooge.html …",,,,1241507483073548288,https://twitter.com/MaybeAmes/status/1241507483073548288
2020-03-21 23:26:18,BennettHelen2,thelastpinkcar,4,24,150,"Trump does the ""Dr. Fauci would have liked more time"" thing, looking at the Doctor to nod in agreement. But, bless him, Dr. Fauci just bowed his head and didn't even have eye contact with Trump. I've worked in Courts, this is a tactic used by defendants when covering up.",,,,1241506449412558848,https://twitter.com/BennettHelen2/status/1241506449412558848
2020-03-21 23:23:56,henrynathanmia,DavidCornDC,26,34,374,"Ya know what? I’m a little sick and tired of fauci biting his tongue and trying to dance around trump. Fauci Should get up there and scare the shit out of everyone to stay home. That’s it.",,,,1241505854496612352,https://twitter.com/henrynathanmia/status/1241505854496612352
2020-03-21 23:23:53,alexmjordan,,5,94,105,"I watched the press conference. Fauci said there was nothing ""incompatible"" between his scientific stance that requires more evidence & #Trump's optimism re drugs that have been used successfully to treat #COVID19. He did NOT warn against Trump's statement.",,,#Trump #COVID19,1241505841414627332,https://twitter.com/alexmjordan/status/1241505841414627332
2020-03-21 23:22:30,DavidCornDC,atrupar,1608,12658,59950,"I’ve said it before. When we get through this, I want to read Fauci’s account of how he had to put up with Trump in order to try to save us. (Thank you, Doc). https://twitter.com/atrupar/status/1241424354589671425 …",,,,1241505494558261248,https://twitter.com/DavidCornDC/status/1241505494558261248
2020-03-21 23:13:23,with_kindness_X,,4,40,81,"Dr Fauci is basically trying to say, trump you’re a nutcase. https://twitter.com/i/events/1241436542792433664 …",,,,1241503198109732870,https://twitter.com/with_kindness_X/status/1241503198109732870
2020-03-21 23:07:48,DavidIRamadan,,110,2641,9947,"1988: @AnnCompton asks Bush & Dukakis who their heroes are, ""point out to young Americans as figures who should inspire this country?"" Bush: ""Fauci ...top doctor at NIH, working hard doing something about research on this disease of AIDS"" @HowardMortmanpic.twitter.com/tyDPRNuFcJ",,@AnnCompton @HowardMortmanpic,,1241501794125131776,https://twitter.com/DavidIRamadan/status/1241501794125131776
2020-03-21 23:57:30,K12Lioness,Andy97041372,3,24,26,". @realDonaldTrump , @POTUS , @WhiteHouse , @RudyGiuliani , @CDCgov , @VP, @VPPressSec , @PressSec , @SecretService (someone needs to carefully monitor Dr. Fauci when he is near the President. ) https://twitter.com/Andy97041372/status/1241511810831994882 …",,@realDonaldTrump @POTUS @WhiteHouse @RudyGiuliani @CDCgov @VP @VPPressSec @PressSec @SecretService,,1241514302693089280,https://twitter.com/K12Lioness/status/1241514302693089280
2020-03-21 23:55:35,nypost,,5,8,16,"Mark Zuckerberg talks coronavirus with Anthony Fauci on Facebook Live https://trib.al/n4QS0Qd pic.twitter.com/dY7jW16Jk1",,,,1241513818381049859,https://twitter.com/nypost/status/1241513818381049859
2020-03-21 23:53:47,kneerecon,funder,2,10,57,"Wash Post asking networks to stop broadcasting live Trump updates. He’s using these in lieu of campaign rallies and criticizing Dems. Gave himself a 10. Blames Obama for not being prepared. Let Fauci carry the load here. We believe what he tells us. Trump’s lies make this worse",,,,1241513365056471043,https://twitter.com/kneerecon/status/1241513365056471043
2020-03-21 23:50:58,PrajnaSword,gvravel,3,6,59,"Fauci has been in DC for a very long time and knows how to navigate the politics and bureaucracy, it's an art form rarely seen among scientists.",,,,1241512658823794688,https://twitter.com/PrajnaSword/status/1241512658823794688
2020-03-21 23:50:19,BruceBourgoine,,3,24,35,"Dr. Fauci demonstrates when it is appropriate to touch your face. #resist #VoteBlueToSaveAmerica #VoteBlue2020 #coronaviruspic.twitter.com/5EyWFEY5c0",,,#resist #VoteBlueToSaveAmerica #VoteBlue2020 #coronaviruspic,1241512495589834752,https://twitter.com/BruceBourgoine/status/1241512495589834752
2020-03-21 23:49:40,nancy_linehan,DavidCornDC,1,9,106,"Dr. Fauci is a super hero in so many ways.",,,,1241512331219214337,https://twitter.com/nancy_linehan/status/1241512331219214337
2020-03-21 23:41:31,rkwadhera,boback,0,15,49,"“I don’t want to act like a tough guy, like I stood up to the president. I just want to get the facts out. And instead of saying, ‘You’re wrong,’ all you need to do is continually talk about what the data are and what the evidence is.” - Dr. Fauci #fauciforpresident #Covid_19https://twitter.com/boback/status/1241508295493316608 …",,,#fauciforpresident #Covid_19https,1241510278291914758,https://twitter.com/rkwadhera/status/1241510278291914758
2020-03-21 23:41:11,_thebethpenalty,DavidCornDC,16,7,43,"I couldn’t agree more. I’m obsessed w/ what Fauci’s is going through. Also has anyone else had part of their childhood destroyed because they stumbled upon Chuck Woolery here & discovered he’s a crazy conspiracy-monger…who, among other things, is gaslighting people about Fauci? pic.twitter.com/CsTS0RpeFH",,,,1241510196662267904,https://twitter.com/_thebethpenalty/status/1241510196662267904
2020-03-21 23:39:33,confusatron,,0,4,24,"""Dr. Anthony Fauci warns against following Trump's medical advice"" https://twitter.com/i/events/1241436542792433664 …",,,,1241509783997423620,https://twitter.com/confusatron/status/1241509783997423620
2020-03-21 23:34:33,ctuckerprof,professornunn,1,5,16,"Me, too. And Dr. Fauci has to stand there and try very hard to keep a straight face while diplomatically correcting the idiot-in-chief https://twitter.com/professornunn/status/1241492240817627142 …",,,,1241508524997427202,https://twitter.com/ctuckerprof/status/1241508524997427202
2020-03-21 23:32:53,WSJForero,HowardMortman,2,3,35,"Amazing, way back then...Dr. Fauci https://twitter.com/HowardMortman/status/1241494707919892486 …",,,,1241508107446083585,https://twitter.com/WSJForero/status/1241508107446083585
2020-03-21 23:32:36,MaybeAmes,,4,4,17,"Careful observers have noted that after the almost daily WH briefings Fauci often runs to Trump-hating media like CNN to contradict — usually with a degree of nuance that gives him plausible deniability — what the president has just said. https://www.americanthinker.com/blog/2020/03/anthony_fauci_the_nihs_face_of_the_coronavirus_is_a_deepstate_hillary_clintonloving_stooge.html …",,,,1241508036793053184,https://twitter.com/MaybeAmes/status/1241508036793053184
