date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-08 23:57:26,Ben_Chasteen,TheSpeaker2018,22,64,142,"#CoronavirusOutbreak sadly YT is deleting videos that are telling the truth on the virus. Who are they trying to save the communist party & the evil cabal or victims? https://twitter.com/TheSpeaker2018/status/1226286554408050689 …",,,#CoronavirusOutbreak,1226293995451621376,https://twitter.com/Ben_Chasteen/status/1226293995451621376
2020-02-08 23:57:17,LilyNCali,,1,70,50,"Thank you @SenTomCotton for addressing the Coron Virus. We must be prepared for it. If we aren’t, it could overwhelm our healthcare system causing people to die just because they couldn’t get basic care. Aside from the obvious, what else can we do? pic.twitter.com/12Qon8FxMP",,@SenTomCotton,,1226293959309160449,https://twitter.com/LilyNCali/status/1226293959309160449
2020-02-08 23:55:16,SOliver2020,,37,470,513,"OMG Disinfecting air from Corona virus with heavy chemical spraying machines in Wuhan and Hubei province BM_R pic.twitter.com/ihP0CRzQq0",,,,1226293449583931392,https://twitter.com/SOliver2020/status/1226293449583931392
2020-02-08 23:53:52,alainthibaut1,MrAndyNgo,33,140,119,"Meet the American Corona Virus.. Why are they not classified as domestic terrorists yet? #Antifafacists #libtarts #mentalillnesshttps://twitter.com/MrAndyNgo/status/1226255728031059968 …",,,#Antifafacists #libtarts #mentalillnesshttps,1226293096826142722,https://twitter.com/alainthibaut1/status/1226293096826142722
2020-02-08 23:45:49,ditesh_,,54,242,443,"WTF China's first Biosafety Level 4 lab is in Wuhan, the lab investigates ""the most dangerous pathogens"" which includes #Coronavirus So the virus originated in lab linked to China's biowarfare program pic.twitter.com/2bL05Dy1MV",,,#Coronavirus,1226291072147611650,https://twitter.com/ditesh_/status/1226291072147611650
2020-02-08 23:43:29,gmanews,,16,183,276,"BREAKING: The number of deaths from China's new coronavirus epidemic jumped to 803 on Sunday. The toll is now higher than the global number of deaths caused by the Severe Acute Respiratory Syndrome (SARS) virus, which killed 774 people in 2002-2003. http://bit.ly/3bpDoTl pic.twitter.com/ETcgJdyvpP",,,,1226290485871828993,https://twitter.com/gmanews/status/1226290485871828993
2020-02-08 23:37:15,ehizumi,,7,247,828,"gemini — always got a certain good energy — these mfs really are the sweetest ppl yall jus get on their bad side — heart of gold — happy virus. all of u. — never ever bored arnd them — rly good at art always — good music taste — always ramble — easy to fall for — marry me. pic.twitter.com/x4Ck5DysJa",,,,1226288917290344449,https://twitter.com/ehizumi/status/1226288917290344449
2020-02-08 23:33:28,murchadhfinn,,3,23,123,"Breaking News World Health Organisation issues severe warning of highly contagious ‘Fucking meltdown’ virus spreading like wildfire through Ireland’s media class. Hospitals warned to watch out for individuals with their heads stuck up own holes in a highly emotional state.",,,,1226287965128810496,https://twitter.com/murchadhfinn/status/1226287965128810496
2020-02-08 23:32:57,MailOnline,,21,89,74,"Coronavirus death toll hits 805 as virus claims more lives than 2003 SARS outbreak #CoronavirusOutbreak https://trib.al/Eb96QsJ pic.twitter.com/l2IdRbUiXo",,,#CoronavirusOutbreak,1226287831884189696,https://twitter.com/MailOnline/status/1226287831884189696
2020-02-08 23:28:09,MarxistTwink,democracynow,6,86,278,"Coronavirus has a death rate of .02% and largely only affects people with weakened immune systems like the elderly, youth, and...people with AIDS. I’m so tired of this alarmist clickbait y’all are doing with this virus. Offer aid to China & educate people or shut the hell up. https://twitter.com/democracynow/status/1226131350098530311 …",,,,1226286624478302213,https://twitter.com/MarxistTwink/status/1226286624478302213
