date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-04-18 23:59:56,lawyer4laws,,4,12,21,"Since China lied and is still lying about the number of people who died from #Covid_19 . . Lied about Human to Human transfer . . . How can the U.S. Trust China - If they claim they developed a #Covid_19 Vaccine, Medicine or Good Treatment Plan?",,,#Covid_19 #Covid_19,1251661773612212224,https://twitter.com/lawyer4laws/status/1251661773612212224
2020-04-18 23:59:19,richardhine,,0,41,51,"FEBRUARY: TRUMP: ""China is very... professionally run... they have everything under control."" BIDEN: “I would not be taking China’s word... I would insist China allow our scientists in to (determine) how it started, where it’s from, how far along it is."" https://www.mediaite.com/opinion/watch-all-the-times-joe-biden-was-right-and-trump-was-wrong-on-coronavirus-and-china/ …",,,,1251661621266731008,https://twitter.com/richardhine/status/1251661621266731008
2020-04-18 23:58:54,RepHastingsFL,,28,133,109,". @VernBuchanan & I are calling on @POTUS to urge President Xi to drastically expand regulation & enforcement of often contaminated & cruel live animal #WetMarkets in China. #COVID19’s emergence was linked to one such market in Wuhan. This is unacceptable & cannot continue!pic.twitter.com/o6WzEWAsu9",,@VernBuchanan @POTUS,#WetMarkets #COVID19,1251661515435978752,https://twitter.com/RepHastingsFL/status/1251661515435978752
2020-04-18 23:58:40,business,,171,347,825,"“Our relationship with China was good until they did this,” Trump said Saturday https://trib.al/vXn98Z5",,,,1251661456275316738,https://twitter.com/business/status/1251661456275316738
2020-04-18 23:57:26,socialistmic,,3,21,140,"i don’t wanna hear anyone complaining about how china handled its covid-19 outbreak especially now that state governments in the u.s. have reopened public beaches at the height of the pandemic.",,,,1251661144143433728,https://twitter.com/socialistmic/status/1251661144143433728
2020-04-18 23:57:21,bennyjohnson,amnestyusa,6,35,255,"It is the China Virus. The Communist Party of China unleashed this virus on the world. What’s racist is that same Communist Party banning Africans from public spaces and blaming the virus in black people. China is also putting tens of thousands of Muslims in concentration camps.",,,,1251661124543688704,https://twitter.com/bennyjohnson/status/1251661124543688704
2020-04-18 23:56:56,PattySm69424257,thehill,58,140,307,"Liar. You inherited a stockpile that you sent over to China. Who the hell do you think will swallow your lies? @realDonaldTrumphttps://twitter.com/thehill/status/1251630913080954891 …",,@realDonaldTrumphttps,,1251661019669241859,https://twitter.com/PattySm69424257/status/1251661019669241859
2020-04-18 23:56:42,TreyGibbs28,,273,1054,2112,"COULD WALMART SURVIVE? What if President Trump did a national T.V broadcast to explaìn why the U.S can no longer allow CHINESE PRODUCTS to flood our ECONOMY? What if @realDonaldTrump made the rewards for U.S manufacturing so ASTRONOMICALLY HIGH it wiped out CHINA imports?",,@realDonaldTrump,,1251660962848882688,https://twitter.com/TreyGibbs28/status/1251660962848882688
2020-04-18 23:55:55,jdawsey1,,60,237,608,"Trump campaign wants to go anti-China, anti-Biden. Some aides like Kellyanne Conway want a different approach. Questions linger if campaign is fully in loop. Campaign manger Brad Parscale learned his spokeswoman had been hired to White House through news. https://www.washingtonpost.com/politics/trump-campaign-concludes-there-is-more-to-be-gained-by-attacking-biden-than-trying-to-promote-presidents-pandemic-response/2020/04/18/9644af9a-80e6-11ea-9040-68981f488eed_story.html …",,,,1251660763607023623,https://twitter.com/jdawsey1/status/1251660763607023623
2020-04-18 23:55:42,rameshmashelkar,,13,64,287,"https://www.wipo.int/pressroom/en/articles/2020/article_0005.html … Just saw Report! @WIPO 2019 ranking (Global) 1.China no 1 2.Huawei no1 @WIPO 2002 ranking (Inst/industry) in Asia 1. @CSIR_IND no1 2.Huawei no 5 My slogan then was - patent, publish & prosper Needs reinforcing with vigour...pic.twitter.com/YYOftMpMua",,@WIPO @WIPO @CSIR_IND,,1251660708082864130,https://twitter.com/rameshmashelkar/status/1251660708082864130
2020-04-18 23:55:39,Laurie_Garrett,JoeNBC,26,201,451,"This @JoeBiden campaign ad will really anger @realDonaldTrump .... but Biden's not wrong. All about #COVID19 & China & #Trump #pandemic response.https://twitter.com/JoeNBC/status/1251624069398749184 …",,@JoeBiden @realDonaldTrump,#COVID19 #Trump #pandemic,1251660696036704257,https://twitter.com/Laurie_Garrett/status/1251660696036704257
2020-04-18 23:54:41,RadioFreeTom,,75,196,1373,"Birx was interrupted twice by Trump trying to get her to say that China's numbers are fake. He hovered around behind her like he did during the debate with Clinton. But sure, brave Twitter, explain how she's supposed to blow herself up on stage, just like you would.",,,,1251660451647311873,https://twitter.com/RadioFreeTom/status/1251660451647311873
2020-04-18 23:53:25,RealSexyCyborg,,22,39,233,"To give you an idea of how incredibly difficult is it to get PPE out of China right now, I mailed this fun fiber optic face mask with a box of other stuff to @adafruit and it got stopped as ""Medical Equipment"". They aren't taking any chances after all the complaints pic.twitter.com/ZevsFrRiBb",,@adafruit,,1251660134691946496,https://twitter.com/RealSexyCyborg/status/1251660134691946496
2020-04-18 23:52:58,Calloutfortruth,,5,31,48,"Pompeo: China Has ‘Not Permitted The World’s Scientists To Go Into’ Wuhan Lab https://www.dailywire.com/news/pompeo-china-has-not-permitted-the-worlds-scientists-to-go-into-wuhan-lab …",,,,1251660021672402946,https://twitter.com/Calloutfortruth/status/1251660021672402946
2020-04-18 23:52:28,WritesMore,,1,35,46,"Translated: Trump was too busy licking Xi’s boots to care about Americans. U.S. sent millions of face masks to China early this year, ignoring pandemic warning signs https://www.washingtonpost.com/health/us-sent-millions-of-face-masks-to-china-early-this-year-ignoring-pandemic-warning-signs/2020/04/18/aaccf54a-7ff5-11ea-8013-1b6da0e4a2b7_story.html …",,,,1251659894035546118,https://twitter.com/WritesMore/status/1251659894035546118
2020-04-18 23:52:25,Montieeee_,,0,14,92,"Adrien Brody for Harper's BAZAAR China. Chen Man. pic.twitter.com/cVuhdbeJ2k",,,,1251659883256086532,https://twitter.com/Montieeee_/status/1251659883256086532
2020-04-18 23:51:07,mlakan,,11,113,397,"President Trump: ""And if sleepy Joe Biden wins, ... China will own the United States.""",,,,1251659555479728129,https://twitter.com/mlakan/status/1251659555479728129
2020-04-18 23:51:06,mlakan,,60,151,645,"President Trump: ""Our relationship with China was good until they did this... The question was asked: Would you be angry at China? Well, the answer might very well be a very resounding yes. But it depends. Was it a mistake that got out of control? Or was it done deliberately?""",,,,1251659553260933121,https://twitter.com/mlakan/status/1251659553260933121
2020-04-18 23:50:54,TheMorningSpew2,LionelMedia,2,17,97,"It came from China. https://twitter.com/LionelMedia/status/1251474080093671424 …",,,,1251659500072861699,https://twitter.com/TheMorningSpew2/status/1251659500072861699
2020-04-18 23:49:13,shaunrein,,3,17,57,"I find it curious Trump's State Department cut funding by 35% & fired diplomats yet still funded @ASPI_org $250K USD a year to have shills like Fergus Ryan & Vicky Xu write lies that Uighurs are bought & sold like slaves US propaganda far far far more sophisticated than China's",,@ASPI_org,,1251659079807877120,https://twitter.com/shaunrein/status/1251659079807877120
2020-04-18 23:58:39,DianeToucan,pranishk,3,14,45,"They need to fill this out and put it in their stupid red hats (made in China) so no one accidentally saves their lives. pic.twitter.com/H0XD3BxR7v",,,,1251661453569822720,https://twitter.com/DianeToucan/status/1251661453569822720
2020-04-18 23:58:15,Goldstatetimes,,2,21,30,"#TRUMP OPENS INVESTIGATIONS: White House Looks into #OBAMA Grant to #Wuhan and the @WHO China Corruption! @realDonaldTrump @BarackObama Watch the Speech Here:https://www.youtube.com/watch?v=iiJJnWVm7f4 …",,@WHO @realDonaldTrump @BarackObama,#TRUMP #OBAMA #Wuhan,1251661349957992448,https://twitter.com/Goldstatetimes/status/1251661349957992448
2020-04-18 23:57:50,JoanieReb,,2,20,18,"*U.S. manufacturers shipped millions of dollars of face masks and other protective medical equipment to China in January and February with encouragement from the federal government...* https://www.washingtonpost.com/health/us-sent-millions-of-face-masks-to-china-early-this-year-ignoring-pandemic-warning-signs/2020/04/18/aaccf54a-7ff5-11ea-8013-1b6da0e4a2b7_story.html …",,,,1251661245197008898,https://twitter.com/JoanieReb/status/1251661245197008898
2020-04-18 23:56:48,OmarImranTweets,,0,10,25,"are you sure Corona is from China? Because Chinese things don’t usually last this long..",,,,1251660985301000192,https://twitter.com/OmarImranTweets/status/1251660985301000192
