date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-08 23:55:54,Reuters,,6,78,80,"Five Britons contract coronavirus in French ski resort https://reut.rs/2vcJHct pic.twitter.com/A0SN1euwxb",,,,1226293611182149632,https://twitter.com/Reuters/status/1226293611182149632
2020-02-08 23:55:52,rosebudbaker,,0,14,111,"The upside of getting coronavirus is it comes with a legit excuse to remove yourself from society",,,,1226293598980673536,https://twitter.com/rosebudbaker/status/1226293598980673536
2020-02-08 23:55:47,ScottGottliebMD,,23,79,166,"BREAKING: An additional 2,147 cases of #coronavirus have been diagnosed in Hubei, China; the epicenter of the epidemic, taking the province’s total to 27,100. Of note: the provinces testing capacity is now about 6,000 cases a day. The cumulative death toll also rose by 81 to 780.",,,#coronavirus,1226293580974764033,https://twitter.com/ScottGottliebMD/status/1226293580974764033
2020-02-08 23:54:05,KeishaJake,,2,95,33,"Five Britons test positive for coronavirus in France https://www.breitbart.com/news/five-britons-test-positive-for-coronavirus-in-france/ …",,,,1226293150731337729,https://twitter.com/KeishaJake/status/1226293150731337729
2020-02-08 23:53:22,washingtonpost,,14,140,156,"Coronavirus deaths surpass SARS toll, with officials reporting more than 800 fatalities in the outbreak https://www.washingtonpost.com/world/asia_pacific/coronavirus-china-live-updates/2020/02/08/4fcbd584-49f5-11ea-9164-d3154ad8a5cd_story.html …",,,,1226292972511285249,https://twitter.com/washingtonpost/status/1226292972511285249
2020-02-08 23:49:28,stone_toss,,50,104,1234,"how long does it take Coronavirus to reanimate the bodies?",,,,1226291990163267585,https://twitter.com/stone_toss/status/1226291990163267585
2020-02-08 23:45:49,ditesh_,,54,242,443,"WTF China's first Biosafety Level 4 lab is in Wuhan, the lab investigates ""the most dangerous pathogens"" which includes #Coronavirus So the virus originated in lab linked to China's biowarfare program pic.twitter.com/2bL05Dy1MV",,,#Coronavirus,1226291072147611650,https://twitter.com/ditesh_/status/1226291072147611650
2020-02-08 23:45:38,jenniferatntd,NTDChinese,15,184,191,"#Tianjin, a big city next to #Beijing, with a population of 11M, announced lockdown on Feb 6. Over 80 cities in #China locked down to battle #coronavirus #CoronavirusOutbreakhttps://twitter.com/NTDChinese/status/1226269696858710017 …",,,#Tianjin #Beijing #China #coronavirus #CoronavirusOutbreakhttps,1226291026601615360,https://twitter.com/jenniferatntd/status/1226291026601615360
2020-02-08 23:44:00,nypost,,13,61,70,"Citizen journalist Chen Qiushi covering coronavirus outbreak in China goes missing https://trib.al/tjhk3bZ pic.twitter.com/3W93tCJcy2",,,,1226290614800654336,https://twitter.com/nypost/status/1226290614800654336
2020-02-08 23:43:29,gmanews,,16,183,276,"BREAKING: The number of deaths from China's new coronavirus epidemic jumped to 803 on Sunday. The toll is now higher than the global number of deaths caused by the Severe Acute Respiratory Syndrome (SARS) virus, which killed 774 people in 2002-2003. http://bit.ly/3bpDoTl pic.twitter.com/ETcgJdyvpP",,,,1226290485871828993,https://twitter.com/gmanews/status/1226290485871828993
2020-02-08 23:41:30,kylebuchanan,,2,41,374,"Zhao Shuzhen is stuck in China because of the coronavirus, so THE FAREWELL director Lulu Wang has accepted her Indie Spirit award instead pic.twitter.com/x32cAkINuh",,,,1226289983750717441,https://twitter.com/kylebuchanan/status/1226289983750717441
2020-02-08 23:40:06,dzbb,,1,31,159,"LOOK: The DFA brought back to the Philippines today a total of 30 Filipinos who wished to return home from Wuhan City, ground zero of the 2019 Novel Coronavirus Acute Respiratory Disease (2019-nCoV ARD). | via @DFAPHLpic.twitter.com/NbEN3XLVu5",,@DFAPHLpic,,1226289634134523904,https://twitter.com/dzbb/status/1226289634134523904
2020-02-08 23:39:51,BNODesk,,33,430,665,"NEW: Tianjin's Baodi District, southeast of Beijing, is being put on lockdown due to coronavirus.",,,,1226289568946774022,https://twitter.com/BNODesk/status/1226289568946774022
2020-02-08 23:37:44,DrJacobsRad,,47,58,196,"A respected voice in Infectious Disease in Canada has stated that the epidemiologic curve from China has changed over the past few days with fewer new infections than we would have expected. This is cause for cautious optimism. #Coronavirus https://www.cbc.ca/news/health/coronavirus-china-quarantine-endemic-1.5456641 …",,,#Coronavirus,1226289038107254784,https://twitter.com/DrJacobsRad/status/1226289038107254784
2020-02-08 23:35:55,freezerohedge1,,24,153,177,"LEAKED VIDEO SHOWS A HOME ISOLATION IN CHINA DUE TO THE OUTBREAK OF THE CORONAVIRUS pic.twitter.com/t3627OnYWR",,,,1226288581091655681,https://twitter.com/freezerohedge1/status/1226288581091655681
2020-02-08 23:35:05,iHeartSteveB,,7,21,167,"Forget coronavirus, I have XFL Fever!",,,,1226288370084483072,https://twitter.com/iHeartSteveB/status/1226288370084483072
2020-02-08 23:30:41,OrangePaulp,,3,17,248,"Xi-oncé. What steps should Chinese politician Xi Jinping take to minimize the deadly coronavirus pandemic? pic.twitter.com/YP303bU79i",,,,1226287264659132416,https://twitter.com/OrangePaulp/status/1226287264659132416
2020-02-08 23:30:11,CoinDesk,,7,40,128,"ICYMI: Dr. Li Wenliang, the Chinese doctor who tried to raise awareness of the coronavirus outbreak in its early days, has been memorialized in a smart contract on ethereum after his death of the disease last week. http://ow.ly/C3BX50ygSOR Report by @WolfieZhao",,@WolfieZhao,,1226287136544088070,https://twitter.com/CoinDesk/status/1226287136544088070
2020-02-08 23:22:32,pilot10cliff,inteldotwav,12,48,212,"Scary scenario and quite plausible. Chinese leaders and medical authorities appear to be hiding the truth when it comes to deaths and the spread of this Coronavirus. Being a communist state like Russia, they hate appearing weak to the rest of the world.",,,,1226285213124374528,https://twitter.com/pilot10cliff/status/1226285213124374528
2020-02-08 23:58:57,dankbubble,,9,74,146,"China Anon posts the truth about #Coronavirus. The death rate is much higher than we are being told. pic.twitter.com/dsUVVpqUHI",,,#Coronavirus,1226294378668277761,https://twitter.com/dankbubble/status/1226294378668277761
2020-02-08 23:55:52,dankbubble,,4,37,84,"How was the Spanish flu, which went on to kill 50 million people, initially covered by the media? ""No occasion for panic"" #Coronavirus pic.twitter.com/e91yo7YsCu",,,#Coronavirus,1226293600448700417,https://twitter.com/dankbubble/status/1226293600448700417
2020-02-08 23:54:36,DFAPHL,,14,60,189,"The DFA brought back to the Philippines today a total of 30 Filipinos who wished to return home from Wuhan City, ground zero of the 2019 Novel Coronavirus Acute Respiratory Disease (2019-nCoV ARD). @teddyboylocsin #AssistancetoNationals #DFAinACTIONpic.twitter.com/mQ8t30Mwmp",,@teddyboylocsin,#AssistancetoNationals #DFAinACTIONpic,1226293283355103233,https://twitter.com/DFAPHL/status/1226293283355103233
2020-02-08 23:53:33,KeishaJake,,4,79,31,"The global spread of the coronavirus: Where is it? https://www.breitbart.com/news/the-global-spread-of-the-coronavirus-where-is-it-8/ …",,,,1226293017654505473,https://twitter.com/KeishaJake/status/1226293017654505473
2020-02-08 23:52:52,CNBC,,4,40,48,"Coronavirus live updates: New virus has now killed more people than SARS https://cnb.cx/37dT1Km",,,,1226292846149459968,https://twitter.com/CNBC/status/1226292846149459968
2020-02-08 23:52:16,L0la_0ups,,9,50,82,"Oohh really? @Ditesh_: WTF China's first Biosafety Level 4 lab is in Wuhan, the lab investigates ""the most dangerous pathogens"" which includes #Coronavirus So the virus originated in lab linked to China's biowarfare program pic.twitter.com/H316n0fzqK",,@Ditesh_,#Coronavirus,1226292693699088384,https://twitter.com/L0la_0ups/status/1226292693699088384
2020-02-08 23:51:30,cnnphilippines,,4,39,116,"A total of 30 Filipinos who sought to return to the Philippines have arrived at the Clark International Airport in Pampanga Sunday early morning from Wuhan, China – the epicenter of the novel coronavirus outbreak. http://bit.ly/3bqbxT0",,,,1226292500727398400,https://twitter.com/cnnphilippines/status/1226292500727398400
2020-02-08 23:47:01,A__FCB,,3,27,83,"I think one of the reasons why the fans were so quiet during the concert was due to sanitary reasons. They needed to be carefull due to the coronavirus outbreak, they all were wearing mask too. Plus the fact there were prolly a lot of curious non fans there too @ATEEZofficial",,@ATEEZofficial,,1226291372132642824,https://twitter.com/A__FCB/status/1226291372132642824
2020-02-08 23:43:50,SeanBradbery,,6,14,78,"If you're retweeting unsourced ""information"" from an anonymous #CoronaVirus account, fucking stop it. Disinformation harms people. This isn't hard.",,,#CoronaVirus,1226290572664569858,https://twitter.com/SeanBradbery/status/1226290572664569858
2020-02-08 23:42:18,inteldotwav,,1,32,33,"Tianjin's Baodi District, south of Beijing, has been put on lockdown. #coronavirus",,,#coronavirus,1226290188026097664,https://twitter.com/inteldotwav/status/1226290188026097664
2020-02-08 23:40:00,We_R_an0nym0us,inteldotwav,13,111,67,"#Breaking #Coronavirus Friends, we can guess what is happening here... Prayers for #Wuhanhttps://twitter.com/inteldotwav/status/1226267582740811777 …",,,#Breaking #Coronavirus #Wuhanhttps,1226289607374974976,https://twitter.com/We_R_an0nym0us/status/1226289607374974976
2020-02-08 23:38:38,freddie1999,,17,133,108,"VIDEO: “Physical isolation is to lock you up....so you can’t get out,” householder is told. pic.twitter.com/8hwAWvy9R1 #Hangzhou #PRC #ChairmanXi #Coronavirus #CoronavirusOutbreak #CCP #WuhanVirus #Beijing",,,#Hangzhou #PRC #ChairmanXi #Coronavirus #CoronavirusOutbreak #CCP #WuhanVirus #Beijing,1226289264129867777,https://twitter.com/freddie1999/status/1226289264129867777
2020-02-08 23:37:49,TheSun,,3,22,44,"Hero Chinese doctor who tried to warn the world about coronavirus was sent chilling letter by police before he died https://www.thesun.co.uk/news/10923822/chinese-doctor-coronavirus-chilling-letter/?utm_medium=Social&utm_campaign=sunmaintwitter&utm_source=Twitter#Echobox=1581202660 …",,,#Echobox,1226289059158536192,https://twitter.com/TheSun/status/1226289059158536192
2020-02-08 23:37:39,DelthiaRicks,,2,28,27,"University of California Santa Cruz has posted the #nCoV genome on its UCSC Genome Browser. This allows scientists worldwide to use #coronavirus genomic data for research, Genome Browser Engineer Hiram Clawson said https://medicalxpress.com/news/2020-02-ucsc-genome-browser-coronavirus.html … via @medical_xpress",,@medical_xpress,#nCoV #coronavirus,1226289018414997504,https://twitter.com/DelthiaRicks/status/1226289018414997504
2020-02-08 23:34:21,cnnphilippines,,4,17,97,"DFA says a total of 30 Filipinos from Wuhan were brought back to the Philippines this morning amid the 2019 novel coronavirus outbreak. | : @DFAPHLpic.twitter.com/BRgb79QehC",,@DFAPHLpic,,1226288184167825408,https://twitter.com/cnnphilippines/status/1226288184167825408
2020-02-08 23:32:57,MailOnline,,21,89,74,"Coronavirus death toll hits 805 as virus claims more lives than 2003 SARS outbreak #CoronavirusOutbreak https://trib.al/Eb96QsJ pic.twitter.com/l2IdRbUiXo",,,#CoronavirusOutbreak,1226287831884189696,https://twitter.com/MailOnline/status/1226287831884189696
2020-02-08 23:32:45,AMHotFlash,,2,27,33,"Did Dr. Li Wenliang, the doctor who warned people about the CORONAVIRUS as early as December, die from the virus or was he murdered? CHINESE AUTHORITIES are investigating his death. #wtpTEAM #wtp2020 ⁦ @wtp__2020⁩https://www.nbcnews.com/news/world/china-investigate-death-doctor-who-blew-whistle-coronavirus-n1132171 …",,@wtp__2020,#wtpTEAM #wtp2020,1226287783154765825,https://twitter.com/AMHotFlash/status/1226287783154765825
2020-02-08 23:30:14,the_hindu,,6,22,148,"Hindus gathered in temples across #Malaysia on Saturday to celebrate the annual Thaipusam festival, despite concerns about the deadly #coronavirus outbreak. https://trib.al/0BqtLda",,,#Malaysia #coronavirus,1226287149810667521,https://twitter.com/the_hindu/status/1226287149810667521
2020-02-08 23:17:25,russian_market,,3,29,38,"Brit dad and son, 9, 'infected with coronavirus by guest at French ski resort' https://www.mirror.co.uk/news/uk-news/coronavirus-first-pictures-brit-dad-21459558?utm_source=twitter.com&utm_medium=social&utm_campaign=sharebar …",,,,1226283925154168833,https://twitter.com/russian_market/status/1226283925154168833
2020-02-08 23:13:04,CGTNOfficial,,3,22,97,"Follow us as we take cameras inside the hot zone. Meet the volunteers who work to distribute medical supplies in the #coronavirus epicenter of #Wuhan, China.https://bit.ly/2tKzB2e",,,#coronavirus #Wuhan,1226282830491193351,https://twitter.com/CGTNOfficial/status/1226282830491193351
