date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-01-31 19:20:28,EURO_COVID19,,0,1,0,"New Zealand reported its first suspected case of the coronavirus infection on 31 January #CoronavirusOutbreak #coronavirus",,,#CoronavirusOutbreak #coronavirus,1223325191910121477,https://twitter.com/EURO_COVID19/status/1223325191910121477
2020-01-31 19:18:30,EURO_COVID19,,0,0,0,"The first suspected coronavirus case in Botswana was registered on 30 January, announced the Ministry of Health and Wellness on 31st January. #CoronavirusOutbreak",,,#CoronavirusOutbreak,1223324694864171014,https://twitter.com/EURO_COVID19/status/1223324694864171014
2020-01-31 18:12:21,fairtwin,,0,0,2,"#Cipollone should be a witness NOT on the defense team. #CallTheWitnesses #ripgop",,,#Cipollone #CallTheWitnesses #ripgop,1223308050217390080,https://twitter.com/fairtwin/status/1223308050217390080
2020-01-31 18:09:57,fairtwin,,0,0,0,"#Cipollone is the Senates Devin Nunes. They’re both know the whole story. They’re both arguing against it. Exact definition of gaslighting. #WeWantWitnessesAndDocuments #WeWantWitnesses",,,#Cipollone #WeWantWitnessesAndDocuments #WeWantWitnesses,1223307446438940672,https://twitter.com/fairtwin/status/1223307446438940672
2020-01-31 18:07:14,fairtwin,,0,0,1,"#Cipollone is the Senates Devin Nunes",,,#Cipollone,1223306763258085376,https://twitter.com/fairtwin/status/1223306763258085376
2020-01-31 13:52:54,dom1759,Zar_RedIssue,1,0,2,"True story Zar but if theyre gonna penny pinch in the summer id rather wait",,,,1223242757143244800,https://twitter.com/dom1759/status/1223242757143244800
2020-01-31 12:34:14,my_covid19,,0,0,2,"How the Corona Virus startedpic.twitter.com/lTr87GpAmG",,,,1223222960204341248,https://twitter.com/my_covid19/status/1223222960204341248
2020-01-31 00:28:34,COVID19_no_Evan,,1,0,0,"pretend im a roblox admin and I gave you infinite roux and premium your 9th emoji is youre reaction",,,,1223040339411263488,https://twitter.com/COVID19_no_Evan/status/1223040339411263488
2020-01-31 00:25:37,COVID19_no_Evan,,0,0,1,"I update my roblox avatar like every 5 days for some reaon.. pls help me fix that...",,,,1223039596138651648,https://twitter.com/COVID19_no_Evan/status/1223039596138651648
2020-01-30 04:49:04,Covid19____20,Divya_S_Rathore,0,0,0,"I hope my wife can make it like this one day ... she is still learning",,,,1222743506424172546,https://twitter.com/Covid19____20/status/1222743506424172546
2020-01-29 22:31:27,ya_bwoy_unye,,0,1,3,"Leanne said she doesn't catch feelings she catches flights lmao #LoveIslandpic.twitter.com/5xlha2Imxg",,,#LoveIslandpic,1222648476049297408,https://twitter.com/ya_bwoy_unye/status/1222648476049297408
2020-01-29 17:06:56,CoviD19_LeVrai,KingRabbit78,0,0,1,"YOU GET CHINOISED",,,,1222566809523687426,https://twitter.com/CoviD19_LeVrai/status/1222566809523687426
2020-01-29 10:37:14,Covid19_Canadas,Crypto4Freedom_,0,0,2,"The future #tezos whaleshttps://twitter.com/Crypto4Freedom_/status/1222468202820767745 …",,,#tezos,1222468740144603137,https://twitter.com/Covid19_Canadas/status/1222468740144603137
2020-01-29 08:29:55,antis_covid19,nonstimur,0,0,2,"hahahahaha",,,,1222436697574526976,https://twitter.com/antis_covid19/status/1222436697574526976
2020-01-28 20:19:11,I_hate_COVID19,kyleumlang,0,0,2,"Probably want to include the best athletic program in America....ridiculoushttps://twitter.com/kyleumlang/status/1222185772960317443 …",,,,1222252802061275136,https://twitter.com/I_hate_COVID19/status/1222252802061275136
2020-01-28 14:39:49,I_hate_COVID19,Beltrefan,0,0,1,"10/29/2000 4/21/2007 5/3/2008 - GRAND PRAIRIE 7/8/2008 7/15/2011 1/27/2020 6th time played this decade",,,,1222167398989680640,https://twitter.com/I_hate_COVID19/status/1222167398989680640
2020-01-28 07:01:50,CoviD19_LeVrai,InfosMinuts,0,0,0,"Oh putain non",,,,1222052142267146240,https://twitter.com/CoviD19_LeVrai/status/1222052142267146240
2020-01-28 04:36:47,Covid19____20,masum_hoon_main,1,0,2,"Ye lo , ek Aur fixing ...pic.twitter.com/uxonhcv6C0",,,,1222015640266932224,https://twitter.com/Covid19____20/status/1222015640266932224
2020-01-28 00:39:49,I_hate_COVID19,Beltrefan,0,0,2,"It’s absurd @jessenewell should not be allowed to vote anymore",,@jessenewell,,1221956006105812992,https://twitter.com/I_hate_COVID19/status/1221956006105812992
2020-01-27 01:41:15,COVID19_SV,,1,0,2,"Was a legend on the court and just getting started in what would have been just as meaningful a second act. To lose Gianna is even more heartbreaking to us as parents. Michelle and I send love and prayers to Vanessa and the entire Bryant family on an unthinkable day. @BarackObamapic.twitter.com/dDnu7YER6O",,@BarackObamapic,,1221609078910308352,https://twitter.com/COVID19_SV/status/1221609078910308352
2020-01-31 23:57:20,COVID19_no_Evan,,1,0,0,"Thanks, @RiddianGames for the follow!",,@RiddianGames,,1223394868522651649,https://twitter.com/COVID19_no_Evan/status/1223394868522651649
2020-01-31 22:24:45,Scarfy04,,0,0,1,"Wellcome home brother to the boyhood club IGHALO",,,,1223371568010735620,https://twitter.com/Scarfy04/status/1223371568010735620
2020-01-31 19:16:13,EURO_COVID19,,0,0,0,"South Korea has confirmed 11 cases of the virus. #coronavirus",,,#coronavirus,1223324122664570880,https://twitter.com/EURO_COVID19/status/1223324122664570880
2020-01-31 16:27:00,dom1759,PauloDanty,0,0,0,"You serious? Why did nobody inform me of this",,,,1223281537711529984,https://twitter.com/dom1759/status/1223281537711529984
2020-01-31 14:36:39,dom1759,DyrtiSan,1,0,0,"You missed the point of the tweet you weapon",,,,1223253764498493444,https://twitter.com/dom1759/status/1223253764498493444
2020-01-31 06:38:42,JohnP_COVID19,A_dmg04,0,0,0,"Oh damn, it begin...pic.twitter.com/r1HFg4D0HP",,,,1223133486380462080,https://twitter.com/JohnP_COVID19/status/1223133486380462080
2020-01-31 06:21:25,JohnP_COVID19,destiny_thememe,0,0,0,"You’re breaking your own record of being roasted by bungie",,,,1223129138472550402,https://twitter.com/JohnP_COVID19/status/1223129138472550402
2020-01-31 05:28:18,JohnP_COVID19,AsapSCIENCE,0,0,0,"What a dick https://twitter.com/AsapSCIENCE/status/1222957614344167425 …",,,,1223115767811428352,https://twitter.com/JohnP_COVID19/status/1223115767811428352
2020-01-30 16:22:51,CoviD19_LeVrai,NamlocJojo,0,0,0,"Ok t'est mort",,,,1222918104629567490,https://twitter.com/CoviD19_LeVrai/status/1222918104629567490
2020-01-30 15:20:22,McDanLovin,,0,0,0,"This will also eliminate the temptation to speed up between cameras. Surely this is a much safer and cheaper option for everyone involved. #scrapsmartmotorways",,,#scrapsmartmotorways,1222902379483258882,https://twitter.com/McDanLovin/status/1222902379483258882
2020-01-30 15:20:21,McDanLovin,,1,0,0,"Instead of these money draining procedures, why not just leave the average speed cameras up? They have to be more cost effective and will stop any driver going above the 70mph speed limit at all times. Or any speed that they are told to do for any section of road!",,,,1222902377314836484,https://twitter.com/McDanLovin/status/1222902377314836484
2020-01-30 15:20:21,McDanLovin,,1,0,0,"Have you no common sense? It when these apparent smart motorways are being built, that’s when our motorways are at their safest. There is an average speed check which prevents drivers speeding up and slowing down between cameras. Traffic flows more consistently and safely!",,,,1222902375767146496,https://twitter.com/McDanLovin/status/1222902375767146496
2020-01-30 12:22:33,antis_covid19,ArnoldPoernomo,0,0,0,"Astaga",,,,1222857631376625664,https://twitter.com/antis_covid19/status/1222857631376625664
2020-01-30 05:56:36,antis_covid19,ArnoldPoernomo,0,0,0,"bikin amandel",,,,1222760504411574272,https://twitter.com/antis_covid19/status/1222760504411574272
2020-01-29 22:32:38,ya_bwoy_unye,MANCZINI,0,0,0,"not nice!",,,,1222648777409953793,https://twitter.com/ya_bwoy_unye/status/1222648777409953793
2020-01-28 04:45:01,Covid19____20,vikasbhaABP,0,0,0,"NCR nahi NRC hai Love Day ...https://twitter.com/vikasbhaABP/status/1221777823213477890 …",,,,1222017714958422016,https://twitter.com/Covid19____20/status/1222017714958422016
2020-01-28 04:33:05,Covid19____20,masum_hoon_main,1,0,0,"Fixed it ... happy now ? pic.twitter.com/1GiJGfO5aT",,,,1222014710599446528,https://twitter.com/Covid19____20/status/1222014710599446528
