date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-22 23:56:31,T_Inglesby,,5,57,184,"Preparing for substantial increase in #of pts who need oxygen Rx and mechanical ventilation; getting people with sx of COVID19 diagnosed rapidly+correctly; establishing highest possible infection control procedures; ensuring HCWs have PPE to keep them from being infected 11/x",,,#of,1231367194581372928,https://twitter.com/T_Inglesby/status/1231367194581372928
2020-02-22 23:40:57,TomvdMolen,,64,624,553,"#Coronavirus cases CASES DEATHS 76,918 & 2,441 768 & 3 433 & 2 89 79 & 2 70 & 2 35 35 28 & 5 26 & 1 22 16 16 15 13 12 & 1 10 9 9 3 & 1 3 2 2 1 1 1 1 1 1 1 1 1 TOT 78,615 & 2,458 dead #COVID19 Mappic.twitter.com/1tqaoyfiJr",,,#Coronavirus #COVID19,1231363277084643328,https://twitter.com/TomvdMolen/status/1231363277084643328
2020-02-22 23:40:53,T_Inglesby,,8,108,204,"There have been a number of concerning #COVID19 developments over the last few days. This thread summarizes some of them and says what this means for health care system planning. 1/x",,,#COVID19,1231363260403929090,https://twitter.com/T_Inglesby/status/1231363260403929090
2020-02-22 23:33:54,Styx666Official,,71,59,387,"Containing coronavirus and preventing it from spreading into a worldwide pandemic is currently in the hands of the Italians. #Coronavirus #COVID19",,,#Coronavirus #COVID19,1231361503460298752,https://twitter.com/Styx666Official/status/1231361503460298752
2020-02-22 23:32:56,BeholdIsrael,,40,668,1016,"BREAKING - #Italy locks down the hospital Schiavonia in #Padua amid the #COVID19 outbreak. The 300 patients, 150 doctors, and nurses are quarantined and are not allowed to leave the hospital until they have been tested for the #coronavirus.",,,#Italy #Padua #COVID19 #coronavirus,1231361261025230848,https://twitter.com/BeholdIsrael/status/1231361261025230848
2020-02-22 23:15:05,DrEricDing,,44,316,461,"Is it a pandemic yet? “A number of spot fires occurring around the world is a sign that things are ticking along, and what we are going to have here is probably a pandemic,” said Ian Mackay- if @MackayIM says probably, then we are definitely close #COVID19 https://nypost.com/2020/02/22/untraceable-coronavirus-cells-emerge-in-three-countries-amid-pandemic/ …",,@MackayIM,#COVID19,1231356768086843394,https://twitter.com/DrEricDing/status/1231356768086843394
2020-02-22 23:06:51,DrEricDing,AFP,18,302,364,"Italy now suddenly up to 79 confirmed cases and 2 deaths. Citywide lockdowns are now underway in the affected cities. #SARSCoV2 #COVID19 https://twitter.com/AFP/status/1231346166555643905 …",,,#SARSCoV2 #COVID19,1231354696419463171,https://twitter.com/DrEricDing/status/1231354696419463171
2020-02-22 23:04:56,GordonGChang,,26,303,400,"#COVID19 may have a 27-day incubation period: http://bit.ly/37WqoSA . Is this bug mutating? How will it change next? Pray for humanity. #China #CoronavirusOutbreak",,,#COVID19 #China #CoronavirusOutbreak,1231354211067146242,https://twitter.com/GordonGChang/status/1231354211067146242
2020-02-22 23:02:40,DrEricDing,,23,216,286,"“Nearly 200 foreign nationals were refused entry at Tel Aviv's Ben-Gurion Airport on Saturday evening, after arriving onboard Korean Air KE957 from Seoul” #SARSCoV2 #COVID19 https://www.jpost.com/Israel-News/South-Koreans-refused-entry-to-Israel-over-coronavirus-fears-618419 …",,,#SARSCoV2 #COVID19,1231353641321320449,https://twitter.com/DrEricDing/status/1231353641321320449
2020-02-22 22:50:08,HeshmatAlavi,,78,796,1868,"Iranian always have a sense of humor :) How to greet friends during the coronavirus outbreak! #Iran #COVID19 pic.twitter.com/JNoYXkr30h",,,#Iran #COVID19,1231350488936873984,https://twitter.com/HeshmatAlavi/status/1231350488936873984
