date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-08 22:42:15,jessemckinley,realDonaldTrump,0,5,9,". @NYGovCuomo denies he cancelled any meeting. Says he's waiting for the President to return his call. We now return your to your regularly scheduled Saturday. https://twitter.com/realDonaldTrump/status/1226229268830662656 …",,@NYGovCuomo,,1226275075973730304,https://twitter.com/jessemckinley/status/1226275075973730304
2020-02-08 22:42:01,ChidiNwatu,ddale8,2,2,75,"Lying about a meeting just to make @NYGovCuomo look bad.",,@NYGovCuomo,,1226275015231930368,https://twitter.com/ChidiNwatu/status/1226275015231930368
2020-02-08 22:29:29,MaggieRogers517,ZackFinkNews,1,9,40,"It's not just that he lies. Most of us have figured out -- that's just what he does. The part that has always been mind blowing to me -- he lies even when he doesn't need to. He can't stop himself. He is entirely incapable of telling the truth.",,,,1226271859747901440,https://twitter.com/MaggieRogers517/status/1226271859747901440
2020-02-08 22:23:00,cowboys_cubs1,ZackFinkNews,0,5,47,"Wait... #IMPOTUS lied?? Stunned.",,,#IMPOTUS,1226270228415492096,https://twitter.com/cowboys_cubs1/status/1226270228415492096
2020-02-08 22:17:56,celiaanne,ZackFinkNews,2,2,44,"Why does he lie about EVERYTHING!?",,,,1226268955599306754,https://twitter.com/celiaanne/status/1226268955599306754
2020-02-08 22:12:22,ZackFinkNews,realDonaldTrump,108,507,1421,". @NYGovCuomo responds to @realDonaldTrump “The fact is, my office called to ask for a meeting I wanted to talk to him about the Trusted Traveler Program and we’re waiting to hear. I didn’t cancel any meeting. I’m waiting to find out when we can meet.”https://twitter.com/realDonaldTrump/status/1226229268830662656 …",,@NYGovCuomo @realDonaldTrump,,1226267553862909952,https://twitter.com/ZackFinkNews/status/1226267553862909952
2020-02-08 21:37:12,JimmyVielkind,realDonaldTrump,1,11,11,". @NYGovCuomo told reporters at the National Governors Association that he did not cancel a meeting. “The fact is, my office called asking for a meeting. I want to talk to him about the trusted traveler program, and we’re waiting to hear.” Cuomo won’t be at the NGA, WH dinner. https://twitter.com/realDonaldTrump/status/1226229268830662656 …",,@NYGovCuomo,,1226258703822794752,https://twitter.com/JimmyVielkind/status/1226258703822794752
2020-02-08 21:35:57,EliseStefanik,realDonaldTrump,324,2746,10282,"It’s too bad Governor Cuomo keeps putting illegal immigrants and criminals ahead of Bipartisan results for hardworking New York families. https://twitter.com/realDonaldTrump/status/1226229268830662656 …",,,,1226258390013313026,https://twitter.com/EliseStefanik/status/1226258390013313026
2020-02-08 21:01:48,Fitzyleelee,RepStefanik,2,10,29,"@NYGovCuomo is destroying NY. Bail reform allows criminals to go right back out into the streets. He’s a DISASTER",,@NYGovCuomo,,1226249796941471753,https://twitter.com/Fitzyleelee/status/1226249796941471753
2020-02-08 20:33:23,SLOnonnie,ChidiNwatu,1,0,77,"tRump is a drama queen.pic.twitter.com/bBJlisK0OR",,,,1226242644176588800,https://twitter.com/SLOnonnie/status/1226242644176588800
2020-02-08 20:20:25,NYCComptroller,realDonaldTrump,3,4,14,"The Trump administration’s ban on the Trusted Traveler Program is an act of pure political retribution. Glad @NYGovCuomo and @newyorkstateag are fighting back.https://twitter.com/realDonaldTrump/status/1226229268830662656 …",,@NYGovCuomo @newyorkstateag,,1226239379364028418,https://twitter.com/NYCComptroller/status/1226239379364028418
2020-02-08 20:12:34,borderfox116,realDonaldTrump,2,11,16,"@NYGovCuomo Too busy releasing Criminals. One MS13 gang Member Released back into the Community .& Just like that the witness who was going testifie end up being Executed. That's our governor Hes a complete waste of time",,@NYGovCuomo,,1226237405101002753,https://twitter.com/borderfox116/status/1226237405101002753
2020-02-08 19:56:42,JarradKushner,,1,33,47,". @NYGovCuomo is wurkin. https://twitter.com/realDonaldTrump/status/1226229268830662656 …pic.twitter.com/bQuAFyDZ1k",,@NYGovCuomo,,1226233410995118081,https://twitter.com/JarradKushner/status/1226233410995118081
2020-02-08 19:40:14,realDonaldTrump,RepStefanik,6563,17286,62211,"Governor Cuomo wanted to see me this weekend. He just canceled. Very hard to work with New York - So stupid. All they do is sue me all the time! https://twitter.com/RepStefanik/status/1225494053913079808 …",,,,1226229268830662656,https://twitter.com/realDonaldTrump/status/1226229268830662656
2020-02-08 19:08:36,VHayek214,DHSgov,3,63,48,"@NYGovCuomo and #lunaticleft doesn’t care about the safety of #Americans they just want all the #illegalvotes This ever disturbing trend from the #Progressives will bring America to her knees and erode away the #Constitution #GreenLightLaw must be repealed to #KAGhttps://twitter.com/DHSgov/status/1225463946259369984 …",,@NYGovCuomo,#lunaticleft #Americans #illegalvotes #Progressives #Constitution #GreenLightLaw #KAGhttps,1226221309018939396,https://twitter.com/VHayek214/status/1226221309018939396
2020-02-08 18:54:27,RepJoeMorelle,,6,3,12,"I am grateful to @NYGovCuomo for his leadership in taking action to sue the Department of Homeland Security and reverse this decision. As New Yorkers, we stand united and resolute in our commitment to fighting back against this grossly misguided policy.",,@NYGovCuomo,,1226217747564158978,https://twitter.com/RepJoeMorelle/status/1226217747564158978
2020-02-08 18:49:58,michaelhenry123,,5,20,40,". @fud31 so @NYGovCuomo has no problem sending State Troopers into NYC to prove his power to @NYCMayor BUT he has an issue with the federal government cooperating with NY state when it comes to enforcing immigration laws? He's such a mess.",,@fud31 @NYGovCuomo @NYCMayor,,1226216618621112320,https://twitter.com/michaelhenry123/status/1226216618621112320
2020-02-08 17:40:39,CountyExecBello,NYGovCuomo,11,8,20,"Thank you @NYGovCuomo for standing up for New Yorkers and taking on this arbitrary decision by President Trump and the Department of Homeland Security. This is politics at its worst. https://twitter.com/NYGovCuomo/status/1225843971194269699 …",,@NYGovCuomo,,1226199172887568384,https://twitter.com/CountyExecBello/status/1226199172887568384
2020-02-08 16:49:43,travis_robert,eliza_relman,1,5,60,"NYC has 3,000,000 free car parking spaces and hasn't opened a new subway line since the 1930s. They thought they'd escape the worst of warming but our climate fraud mayor & governor might live to see beach resorts in Antarctica at this rate. @NYCMayor @BilldeBlasio @NYGovCuomo https://twitter.com/eliza_relman/status/1225835961893957632 …",,@NYCMayor @BilldeBlasio @NYGovCuomo,,1226186356038262785,https://twitter.com/travis_robert/status/1226186356038262785
2020-02-08 23:47:09,BarbraTalkingt1,ZackFinkNews,0,4,11,"Trump has been named in 150 lawsuits in Florida. No State or country is exempt from his corruption.",,,,1226291407515607040,https://twitter.com/BarbraTalkingt1/status/1226291407515607040
2020-02-08 23:18:12,galeabrewer,,0,0,13,"Statement: @galeabrewer re @NYGovCuomo Lawsuit on #TTPBan Trump Admin thinks that becuz they maneuvered thru impeachment, they can go back to hurting NYers. Wrong. I thank Gov Cuomo 4 defending NY against these calculated attacks from Washington.",,@galeabrewer @NYGovCuomo,#TTPBan,1226284122005557248,https://twitter.com/galeabrewer/status/1226284122005557248
2020-02-08 22:44:05,CarolynW1111,ZackFinkNews,0,4,13,"We believe you @NYGovCuomo . See how that works @realDonaldTrump ?",,@NYGovCuomo @realDonaldTrump,,1226275536466579461,https://twitter.com/CarolynW1111/status/1226275536466579461
2020-02-08 22:41:31,medit8now,ddale8,0,0,34,"Hey @NYGovCuomo Trump wants you to sue him. Please do so. He expects it.",,@NYGovCuomo,,1226274890304643074,https://twitter.com/medit8now/status/1226274890304643074
2020-02-08 22:38:58,shalomisnow,dale_in_denver,0,1,15,"I know. Especially when ImpeachedPotus hasn't been fact checked & found to be lying over 16,000x since taking office.",,,,1226274249196888064,https://twitter.com/shalomisnow/status/1226274249196888064
