date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-29 23:09:49,Nicoxw1,,333,1465,6470,"Dr. Fauci: The most at risk of dying from the Coronavirus are elderly people with underlying conditions, like obesity Trump: *Suddenly worried* Wait, he's literally describing me pic.twitter.com/DoG30CvyQZ",,,,1233892156613517312,https://twitter.com/Nicoxw1/status/1233892156613517312
2020-02-29 22:33:48,DrGJackBrown,,57,423,1156,"Dr. Anthony Fauci's confirmation that ~ 20% of #Coronavirus patients will require hospitalization at some time in their care — necessitates an urgent need for: • Early and massive testing • Containment • Accurate information and education",,,#Coronavirus,1233883093557075968,https://twitter.com/DrGJackBrown/status/1233883093557075968
2020-02-29 22:30:19,Turcotte_JPT,,64,324,673,"Coronavirus fear-mongering alert! Joy Reid just asked if Dr. Fauci still works for the government. Former Obama HHS Secretary then says Dr. Fauci is ""not being allowed to give information directly to the public."" Dr. Fauci briefed the American people less than 5 hours ago. pic.twitter.com/61pAI5HGL2",,,,1233882215957880832,https://twitter.com/Turcotte_JPT/status/1233882215957880832
2020-02-29 22:27:33,SteveCoville,LOARMANDOL,2,41,145,"True even CNBC was asking about Dr Fauci.. wanted to do an interview with him but WH said no.. ie VP Pence's task force is nothing more than trump's political protection scheme..",,,,1233881518239625219,https://twitter.com/SteveCoville/status/1233881518239625219
2020-02-29 22:13:21,RichNoyes,,7,33,78,"Ignorance on display: MSNBC host Joy Reid has absolutely no idea that Dr. Anthony Fauci, who stood with POTUS at WH press conference, works for the government pic.twitter.com/9R1P4qa7zE",,,,1233877946886246405,https://twitter.com/RichNoyes/status/1233877946886246405
2020-02-29 21:50:02,tedlieu,FrankLuntz,43,36,190,"Dr. Fauci said 15-20% who get coronavirus will need hospitalization. Coronavirus also has about 2% mortality rate. That’s what makes it different from the flu. It’s far more serious.",,,,1233872077716783104,https://twitter.com/tedlieu/status/1233872077716783104
2020-02-29 21:45:29,robbystarbuck,,33,322,898,"On a story like this where they lied about Trump muzzling Dr. Fauci to millions, the media really doesn’t care that their lie is exposed because 1,000,000+ will never hear the correction, so the lie is still the truth to those people. Media carried out the smear as intended.",,,,1233870932667748358,https://twitter.com/robbystarbuck/status/1233870932667748358
2020-02-29 21:34:41,gatewaypundit,,4,168,244,"MORE FAKE NEWS: Media Accuses Trump of Muzzling Dr. Fauci from Speaking to Reporters - Dr. Fauci Then Tells Reporters ""I Was Not Muzzled"" (VIDEO) https://www.thegatewaypundit.com/2020/02/more-fake-news-media-accuses-trump-of-muzzling-dr-fauci-from-speaking-to-reporters-dr-fauci-then-tells-reporters-i-was-not-muzzled-video/ … via @gatewaypundit",,@gatewaypundit,,1233868215039774725,https://twitter.com/gatewaypundit/status/1233868215039774725
2020-02-29 21:33:10,WordswithSteph,,739,2306,6617,"During today’s coronavirus presser, Dr. Fauci announced that elderly, obese individuals are at higher risk of falling ill to coronavirus and, tragically, failing to recover. Donald Trump seemed unusually attentive. #CoronavirusUpdatepic.twitter.com/rKXTeU3Oio",,,#CoronavirusUpdatepic,1233867835971121153,https://twitter.com/WordswithSteph/status/1233867835971121153
2020-02-29 21:22:07,AngeleStar111,,10,374,389,"The Trump admin is expanding a travel ban from Iran & stage four travel warning to parts of Italy & South Korea. A reporter accused Trump of “muzzling” Doctor Fauci. Trump: ""Very dishonest question"" Doctor FAUCI: “I’ve never been muzzled."" Boom!! pic.twitter.com/RPXtpjwrPP",,,,1233865055298576384,https://twitter.com/AngeleStar111/status/1233865055298576384
2020-02-29 21:10:46,thehill,,72,48,128,"Dr. Fauci: ""I have never been muzzled."" pic.twitter.com/oeuIrFa4lQ",,,,1233862197425647618,https://twitter.com/thehill/status/1233862197425647618
2020-02-29 21:08:30,thehill,,165,154,281,"Q: ""Can you tell us that... Dr. Fauci will have every opportunity to tell us the truth and the facts?"" President Trump: ""That's a very dishonest question."" pic.twitter.com/bWbr9ejt7X",,,,1233861626161397768,https://twitter.com/thehill/status/1233861626161397768
2020-02-29 20:50:32,AlamoOnTheRise,JuddLegum,3,34,146,"Despite claims Fauci is not being ""muzzled"", Fauci is being muzzled.",,,,1233857103816790016,https://twitter.com/AlamoOnTheRise/status/1233857103816790016
2020-02-29 20:48:14,JuddLegum,JuddLegum,988,3280,5384,"UPDATE: Mike Pence will now appear on 3 Sunday shows (NBC, CNN, Fox Business) Fauci is not scheduled to appear at all. https://twitter.com/JuddLegum/status/1233493760589336577 …",,,,1233856524994347009,https://twitter.com/JuddLegum/status/1233856524994347009
