date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-04-25 23:52:53,Vaterland_1871,,0,2,3,"Just a reminder that whether the Wuhan Virus comes from bat soup or not; we should still close the wet markets. CHINA MUST PAY! pic.twitter.com/ctGPzYSdlN",,,,1254196714841337857,https://twitter.com/Vaterland_1871/status/1254196714841337857
2020-04-25 23:44:16,TomthunkitsMind,,19,27,19,"Just received from Beijing. She says people in #Wuhan r locking down the infected people within their homes so that they can't escape out in the open, to stop the spread of #coronarvirues The infected families r being left to starve & die. Horrific pic.twitter.com/0K42XMRI3k 02",,,#Wuhan #coronarvirues,1254194548139581441,https://twitter.com/TomthunkitsMind/status/1254194548139581441
2020-04-25 23:10:03,memedhaari,,0,0,2,"#ChineseVirus19 After watching the mass destruction done by Coronavirus, China to Wuhan Scientists* pic.twitter.com/p1yd7uTeqo",,,#ChineseVirus19,1254185935345905664,https://twitter.com/memedhaari/status/1254185935345905664
2020-04-25 22:14:54,YvetteCooperMP,Telegraph,253,2696,6335,"Until 13 March, UK policy was that travellers arriving from Wuhan, Italy, Iran should self isolate. Govt cancelled that policy at around the same time as they stopped community testing & tracing. Have asked Govt many times to explain that decision & publish the science behind it https://twitter.com/Telegraph/status/1254150566781075456 …",,,,1254172056889044992,https://twitter.com/YvetteCooperMP/status/1254172056889044992
2020-04-25 20:36:11,eilonzach,,7,76,170,"We just submitted a super-cool paper about seismic noise changes in China and Italy following COVID-19 lockdown. In Enshi (nearish Wuhan) the noise drop in the frequency band of pedestrians and local factories was equivalent to 20 years' worth of industrialization and growth. pic.twitter.com/IWiIEkrp6g",,,,1254147213623623680,https://twitter.com/eilonzach/status/1254147213623623680
2020-04-25 20:10:03,lions_us,,0,7,5,"WHERE THE WUHAN VIRUS WAS BORN... THE PLACE THAT SENT OUT SICK INDIVIDUALS TO OVER 180 COUNTRIES TO DESTROY THEIR ECONOMIES AND KILLING HUNDREDS OF THOUSANDS PEOPLE. THEY MUST PAY.. @lions_us 61,000 MEMBERS STRONG cc: @realDonaldTrump @WhiteHouse @JesseBWatters @JudgeJeaninepic.twitter.com/FjHkRHn7Em",,@lions_us @realDonaldTrump @WhiteHouse @JesseBWatters @JudgeJeaninepic,,1254140637827477507,https://twitter.com/lions_us/status/1254140637827477507
2020-04-25 16:53:22,JeffCassman,,1,1,27,"Friends and the rest of you, my Mom is mostly recovered from the Wuhan but still has some bad days. Today she's in bed and suffering from vertigo. Please remember her in your prayers. PS Dad is doing well and watching the draft with #8M13pic.twitter.com/8Q26uBoBwD",,,#8M13pic,1254091141064142848,https://twitter.com/JeffCassman/status/1254091141064142848
2020-04-25 15:27:37,JamesCMcHann,,5,91,106,"Why did China silence lab researchers, doctors and journalists in Wuhan? Why have some disappeared? Why did China stop travel from Wuhan to the rest of China but allow travel from Wuhan to Europe and America? The Chinese Art of War https://americanmind.org/post/the-chinese-art-of-war/ …",,,,1254069559985922050,https://twitter.com/JamesCMcHann/status/1254069559985922050
2020-04-25 14:42:27,TienBui33629385,globaltimesnews,1,3,4,"Global times, call on WHO to investigate how deadly wuhan china virus is? CCP is brutal liar pic.twitter.com/8ET3rHVG6a",,,,1254058192486555654,https://twitter.com/TienBui33629385/status/1254058192486555654
2020-04-25 12:46:03,AgustinPardo15,,10,53,45,"What if... The Wuhan Virus was actually unrestricted warfare on the world to destroy the US Economy with Bill Gates, WHO, CDC, Bidens, Soros, Dems/DNC Deep State and China, all with an interest in taking Trump down that would benefit them all? pic.twitter.com/pVQiUckcPA",,,,1254028902407831552,https://twitter.com/AgustinPardo15/status/1254028902407831552
