date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-01-31 23:56:25,peachyxbun,,5,24,133,"White people don’t even wash their assholes after using a single piece of dry one-ply toilet paper to wipe their ass after they shit and their bubonic plague asses wanna go berserk over any Asian person because of the corona virus",,,,1223394635994648576,https://twitter.com/peachyxbun/status/1223394635994648576
2020-01-31 23:56:15,karaschlegl,,8,92,439,"Middle class white ppl pulling their kids out of school because of a virus that largely kills ppl over the age of 65, and meanwhile... pic.twitter.com/nxwXo8Afqf",,,,1223394593300865024,https://twitter.com/karaschlegl/status/1223394593300865024
2020-01-31 23:53:28,MOTHERKIMCHI,,6,37,197,"the people who are making xenophobic comments about the corona virus are the same people who made fun of my ethnic lunch when i was 5",,,,1223393892411703296,https://twitter.com/MOTHERKIMCHI/status/1223393892411703296
2020-01-31 23:48:52,wifislilangel,,4,47,513,"Quarantined for 4 days straight F*ck a virus !! ! pic.twitter.com/ohCMPj8wDx",,,,1223392734305644545,https://twitter.com/wifislilangel/status/1223392734305644545
2020-01-31 23:47:59,KANTBOT20K,,13,124,518,"“You really think someone would do that? Just create and weaponize a virus as a biological weapon and then carelessly release it into the general population for nefarious purposes of furthering government and global mechanisms of populace control?” Meanwhile at the CIA: pic.twitter.com/X8lsENtpQt",,,,1223392515711258625,https://twitter.com/KANTBOT20K/status/1223392515711258625
2020-01-31 23:47:17,HuffmanForNC,,5,65,134,"Maybe it was a bad idea you supported a $750 million cut of the CDC’s budget. The CDC could be working on a strategy or maybe a vaccine to combat the virus. There are 5 confirmed cases in the US. #nc13pic.twitter.com/YFM1kk6IxR",,,#nc13pic,1223392336593522688,https://twitter.com/HuffmanForNC/status/1223392336593522688
2020-01-31 23:47:01,RainingCation,,12,57,156,"I know the Corona virus has many people on edge, but this is NOT the time to falsely accuse any Asian on the streets that they have the virus and use that as an excuse to slander, assault, shove, and be racist towards one another.",,,,1223392269304303621,https://twitter.com/RainingCation/status/1223392269304303621
2020-01-31 23:46:35,qarloscuiapo,,3,10,145,"you know how the entire virus thing is racist? no one has ever mentioned anything about praying for china.",,,,1223392160730402817,https://twitter.com/qarloscuiapo/status/1223392160730402817
2020-01-31 23:46:10,DRottiemom,Michaelcraddo16,2,14,20,"I agree the vaccination is more toxic than the virus. Just got done researching vaccines & it confirmed what I already believed. Vaccinations are the catalyst for diseases & the FDA is waging Medical Terrorism on #WeThePeople",,,#WeThePeople,1223392056485302273,https://twitter.com/DRottiemom/status/1223392056485302273
2020-01-31 23:44:20,mrtonymartin,LesleyDewarAU,11,11,95,"Stupidity Virus spreads: https://twitter.com/LesleyDewarAU/status/1223320411397476352 …",,,,1223391596038610945,https://twitter.com/mrtonymartin/status/1223391596038610945
2020-01-31 23:44:19,_elfamosodanny_,,2,21,67,"Look no ones gotta be scared anymore a simple 4.99 Lysol can will protect you from The corona virus pic.twitter.com/M9EWbrz9LN",,,,1223391590426656768,https://twitter.com/_elfamosodanny_/status/1223391590426656768
2020-01-31 23:43:55,sokeynews,,17,453,380,"While CCP propagandizes the 20 “recovered” patients from corona virus please see how the infected that have died is handled in the streets. @SolomonYue @SenHawleyPress @robert_spalding #coronarvirus #CoronaOutbreak #CCPChinapic.twitter.com/J9PiUoICfc",,@SolomonYue @SenHawleyPress @robert_spalding,#coronarvirus #CoronaOutbreak #CCPChinapic,1223391489633456129,https://twitter.com/sokeynews/status/1223391489633456129
2020-01-31 23:43:38,dunksrnice,,1,6,20,"So it’s okay for these possible flights with the virus but tsa won’t allow a half bottle of liquids through? Got cha",,,,1223391420456660992,https://twitter.com/dunksrnice/status/1223391420456660992
2020-01-31 23:43:08,Lee_Cobaj,,4,11,22,"*Finally* some anti-corona virus measures at Hong Kong Airport this morning; a regular announcement on hygiene and declaring symptoms, as well as one hand sanitizer station after passport control. Still doesn’t seem like much though. pic.twitter.com/r6RLmQcf7g",,,,1223391292698189825,https://twitter.com/Lee_Cobaj/status/1223391292698189825
2020-01-31 23:42:13,DrTomFrieden,,7,24,42,"May be unnecessary or ineffective but quarantine decision understandable. Must be done sensitively. Not justifiable to treat non-US people differently. Unnecessary if virus overwhelmingly causes mild illness. May be ineffective: viruses don’t need visas. http://bit.ly/36EX2aA pic.twitter.com/v5elyeJENc",,,,1223391060925329413,https://twitter.com/DrTomFrieden/status/1223391060925329413
2020-01-31 23:39:50,djmillerJA,djmillerJA,3,20,29,"UPDATE: Foreign Affairs Minister @kaminajsmith says they have reached out to Akara & are offering support. She says the govt is looking for solutions but situation is complex. There's concern about travel bcz of attempts to contain the virus. https://twitter.com/djmillerJA/status/1223020628334256128 …",,@kaminajsmith,,1223390464952410114,https://twitter.com/djmillerJA/status/1223390464952410114
2020-01-31 23:38:20,freexlouis,,1,18,75,"This world is so messed up.. theres a deadly virus out there, the UK just left the EU, Trump case of impeachment is ongoing, a 3rd WW almost happened, ppl are still being caged bc of their skin colour/sex. orient., sea level's rising, forest fires keep happening. But no one cares",,,,1223390086290640897,https://twitter.com/freexlouis/status/1223390086290640897
2020-01-31 23:35:46,anderscorr,,28,165,211,"#Google is shutting down its offices in #HongKong due to the #nCoV2019 virus. #HongKong should have shut its border with the mainland long ago. Do it now before more companies shut their #HongKong offices. #QuarantineChinahttps://www.sfchronicle.com/business/article/Companies-restricting-travel-to-and-from-China-15014248.php …",,,#Google #HongKong #nCoV2019 #HongKong #HongKong #QuarantineChinahttps,1223389438123954184,https://twitter.com/anderscorr/status/1223389438123954184
2020-01-31 23:33:43,goforgold80s,,9,37,50,"Updated list of #ScottyfromMarketing disasters: Drought Empty rivers Dead fish Coral bleeching Bushfires Dust storms Mass extinctions Extreme heat Mud rain Government mismanagement Welfare suicides Refugee suicides Dodgy apartments Corona virus #auspol",,,#ScottyfromMarketing #auspol,1223388923734327303,https://twitter.com/goforgold80s/status/1223388923734327303
2020-01-31 23:33:22,ManUtdInPidgin,,9,39,221,"Guys, We believe say e dey very wrong to crack jokes with coronavirus as many people don die from that virus. No dey encourage people wey dey crack coronavirus jokes about Ighalo.",,,,1223388834882293761,https://twitter.com/ManUtdInPidgin/status/1223388834882293761
2020-01-31 23:57:43,Stewart___O,,3,3,31,"February na, Digong, gising na! Happy weekend! Hope you get a good rest para may energy tayo sa Tuesday to discuss the virus outbreak with medical experts.",,,,1223394963330760704,https://twitter.com/Stewart___O/status/1223394963330760704
2020-01-31 23:57:10,DoveyWan,,12,2,34,"In China, mental breakdown is more of a issue among panic citizens rather than the virus breakout itself media likes to spread out dooming theory, bio-war conspiracy theory I get it But common, let’s take a look at the H1N1 death toll and take a deep breath before panicking pic.twitter.com/igVW3Ltx1U",,,,1223394824058851328,https://twitter.com/DoveyWan/status/1223394824058851328
2020-01-31 23:56:19,charlexhoney,,1,4,48,"After a month where we risked WWIII, most of Australia burnt down, a new virus started to spread around the world and a legend named Kobe Bryant died, I just wanna wish a joyful February rich of positive news to everyone. Hoping for a better month.",,,,1223394612808757248,https://twitter.com/charlexhoney/status/1223394612808757248
2020-01-31 23:56:19,sadir_Palwan,,4,25,27,"4. Another goal of intestinal spreading of this virus is to murder #XiJinping 习近平. Xijinping attended and officially opened the game. I don’t know if Xi is infected, but the the Airborne 15th Army （空15军）was infected. This army is last defense force of China’s Chairman.pic.twitter.com/jUQQxqOUMh",,,#XiJinping,1223394611089039362,https://twitter.com/sadir_Palwan/status/1223394611089039362
2020-01-31 23:55:14,GrahamCarlos,,0,6,13,"ATS doc for clinicians on 2019n-CoV published today at http://www.thoracic.org and in @ATSBlueEditor soon thanks to collaboration with @ATSMedEd authors and Dr. Cao. Spread the word...contain the virus! https://www.thoracic.org/patients/patient-resources/resources/novel-wuhan-coronavirus.pdf …",,@ATSBlueEditor @ATSMedEd,,1223394339122040832,https://twitter.com/GrahamCarlos/status/1223394339122040832
2020-01-31 23:54:08,habitstyIes,,2,2,17,"how’re u all gonna be racist and ab a virus when half of y’all don’t even shower regularly, wash your hands, and u sneeze and cough without covering your mouth. y’all nasty crusty asf foh. a virus doesn’t even COME from a specific group of people y’all just stupid",,,,1223394061827989504,https://twitter.com/habitstyIes/status/1223394061827989504
2020-01-31 23:49:01,aalanadelreyy,jozie_ramone,1,7,12,"I believe it’s a new strain of the virus bc this strain is believed to be zoonotic(meaning it was passed to humans from animals) so it’s not the same /-: but I’d still recommend using this to prevent getting sick! https://twitter.com/jozie_ramone/status/1223382437943660544 …",,,,1223392774973640704,https://twitter.com/aalanadelreyy/status/1223392774973640704
2020-01-31 23:46:31,NarangVipin,stgoldst,3,4,42,"So correct me if I’m wrong—it’s been 20 years since my bioengineering days—but gp120 etc is 820 amino acids long, and they think four overlapping 4 AA inserts makes this a bioengineered virus? I am not impressed. pic.twitter.com/fixU16Gwhz",,,,1223392143156424704,https://twitter.com/NarangVipin/status/1223392143156424704
2020-01-31 23:45:21,CBSEveningNews,,0,10,13,"The U.S. officially declared the coronavirus a public health emergency – for the first time in decades U.S. citizens are being quarantined – as seven Americans have been infected by the deadly virus. Here's @carterevans https://cbsn.ws/2S8swAz pic.twitter.com/3MCr4jqFPu",,@carterevans,,1223391851425804289,https://twitter.com/CBSEveningNews/status/1223391851425804289
2020-01-31 23:44:52,Reuters,,7,21,32,"U.S. stocks retreat on virus fears https://reut.rs/2u6SLiM pic.twitter.com/MAX6RPpTxD",,,,1223391730453700608,https://twitter.com/Reuters/status/1223391730453700608
2020-01-31 23:44:32,senorLupe,,3,2,28,"i says to mi esposa i has virus she is say oh no! lupe u is gonna be oke? i says no problem. senor pomp says is can no be contain #btc #virus @APompliano",,@APompliano,#btc #virus,1223391647070744576,https://twitter.com/senorLupe/status/1223391647070744576
2020-01-31 23:44:28,_Weather_Boy_,,0,10,11,"So @zerohedge has been suspended by Twitter due to telling the truth about the Virus maybe with a few speculations but still the current news, all of this proves that China controls what it wants to in the social media sphere. #Zerohedge #China #coronarvirus",,@zerohedge,#Zerohedge #China #coronarvirus,1223391628393689089,https://twitter.com/_Weather_Boy_/status/1223391628393689089
2020-01-31 23:44:23,ResearcherLucy,,14,9,56,"OMG THIS VIRUS IS CRAZY!! Its going to cause between 140,000-810,000 hospitalizations and between 12,000 - 16,000 deaths this year I'm talking about influenza. And you thought I was going to say #coronavirus",,,#coronavirus,1223391609322135552,https://twitter.com/ResearcherLucy/status/1223391609322135552
2020-01-31 23:39:20,teresedau1,,8,10,32,"There is no medication to cure coronavirus, those who contract the disease must simply ride it out, much like a cold. You can take medication for symptoms but antibiotics aren’t effective because it’s a virus. “You should stay home, rest &drink a lot of fluids,” Prof Shaban said.",,,,1223390337659359232,https://twitter.com/teresedau1/status/1223390337659359232
2020-01-31 23:34:45,EatonRose1,,1,16,16,"From Japan: New report 258 Dead/Corona Virus 11,350 Infected China requiring any female having ANY contact with public MUST Cut Off Pony Tail at once. Everyone stay safe & don’t depend on FAKE NEWS",,,,1223389182858448897,https://twitter.com/EatonRose1/status/1223389182858448897
2020-01-31 23:33:53,makemegooink,,1,8,8,"Corona Virus is just another depopulation tactic",,,,1223388967032279041,https://twitter.com/makemegooink/status/1223388967032279041
2020-01-31 23:33:39,MarkWillard85,,3,1,21,"I have to say, I definitely would've never guessed that - of all news or news-adjacent organizations - BuzzFeed would be doing so much of the heavy lifting when it comes to debunking viral myths and misinformation about a developing virus.",,,,1223388906072289280,https://twitter.com/MarkWillard85/status/1223388906072289280
2020-01-31 23:33:37,asemota,,14,4,89,"I decided to go for a walk this evening after being down for a couple of days with flu (not the Wuhan virus please) and there was this lady walking her dog who saw me and greeted me first. I greeted her in return and she says “I am so sorry.’ I ask “what for?”...she says BREXIT.",,,,1223388896895127552,https://twitter.com/asemota/status/1223388896895127552
