date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-04-04 23:50:09,ElayneBoosler,,27,22,104,"You guys are amazingly awesome. And yes, there are a million songs that fit without changing the title, but we're playing by creating new ones. You so rock. #covidmusic. WuHan a Man Loves a Woman. Airway to Heaven. Fauci Loves You yeah yeah yeah.",,,#covidmusic,1246585884478066688,https://twitter.com/ElayneBoosler/status/1246585884478066688
2020-04-04 23:49:32,GeorgiaLogCabin,,7,28,57,"Where exactly did the Wuhan corona virus start? https://www.nationalreview.com/2020/04/coronavirus-china-trail-leading-back-to-wuhan-labs/amp/ …",,,,1246585727283949568,https://twitter.com/GeorgiaLogCabin/status/1246585727283949568
2020-04-04 23:38:40,threadreaderapp,jerrygulla,2,94,104,"Hello, please find the unroll here: @gregpmiller: A thread on our month-long investigation: 1) Trump team got clear warning Jan. 3 of outbreak in Wuhan;… https://threadreaderapp.com/thread/1246474081739976705.html … Talk to you soon.",,@gregpmiller,,1246582993025740800,https://twitter.com/threadreaderapp/status/1246582993025740800
2020-04-04 23:37:38,DamoPelham,,4,15,45,"In 2011, he began a collaboration with Wuhan University of Technology (WUT) in China that is at the center of his alleged violations. (WUT did not respond to requests for comment on its relationship with Lieber.)",,,,1246582730889953280,https://twitter.com/DamoPelham/status/1246582730889953280
2020-04-04 23:35:58,heatherevansmd,BenDiFrancesco,4,8,37,"My first panicked moment was over 3 weeks ago when I did a deep dive on @twitter and saw the stories from Wuhan #COVID19 I felt alone and alarmist when I talked to people at work, who questioned whether this was just the flu. I was only one of two people scrolling herehttps://twitter.com/BenDiFrancesco/status/1245899808902197253 …",,@twitter,#COVID19,1246582315029012480,https://twitter.com/heatherevansmd/status/1246582315029012480
2020-04-04 23:35:03,RedState,,1,23,40,"Watch: Acosta Tries Mansplaining Trump's Wuhan Virus Timeline to Dr. Birx, and Trump Wasn't Having Any of It -- via @sistertoldjah - #ICYMIhttps://www.redstate.com/sister-toldjah/2020/04/03/watch-acosta-tries-mansplaining-trumps-wuhan-virus-timeline-to-dr-birx-trump-wasnt-having-any-of-it/?utm_source=Twitter&utm_medium=social&utm_term=watch-acosta-tries-mansplaining-trumps-wuhan-virus-timeline-to-dr-birx-trump-wasnt-having-any-of-it&utm_content=6&utm_campaign=PostPromoterPro …",,@sistertoldjah,#ICYMIhttps,1246582083050442760,https://twitter.com/RedState/status/1246582083050442760
2020-04-04 23:33:24,GBunchforUSA,RealJamesWoods,0,19,18,"China paralyzes the world with an outbreak Virus that escaped a WUHAN lab yet they chant racism if we call it so The one thing made in China that they don't want to have their name stamped on #LameStreamMedia is happy to do the dirty work and cover up for them. Pathetic!pic.twitter.com/StDwxEYgIx",,,#LameStreamMedia,1246581667587936258,https://twitter.com/GBunchforUSA/status/1246581667587936258
2020-04-04 23:30:38,guardian,,12,77,189,"'It's not so easy to return from the dead': coming back to life after lockdown in Wuhan https://www.theguardian.com/world/2020/apr/05/its-not-so-easy-to-return-from-the-dead-coming-back-to-life-after-lockdown?utm_term=Autofeed&CMP=twt_gu&utm_medium&utm_source=Twitter#Echobox=1586042554 …",,,#Echobox,1246580972893671424,https://twitter.com/guardian/status/1246580972893671424
2020-04-04 23:23:12,BadKarma5555,kirstiealley,4,35,130,"Asian Flu (Originated in China) SARS (Originated in China) H1N1 (Originated in China) Wuhan Virus (Originated in China) Once is happenstance. Twice is coincidence. Three times is enemy action. We are now at four times and ignoring the dangers China poses to the world.",,,,1246579098715140100,https://twitter.com/BadKarma5555/status/1246579098715140100
2020-04-04 23:15:35,BenKTallmadge,,2,29,40,"WHO Wuhan Health Organization pic.twitter.com/0nnSlCfePY",,,,1246577184996638721,https://twitter.com/BenKTallmadge/status/1246577184996638721
2020-04-04 23:09:52,BenKTallmadge,,1,17,31,"Jan 14, 2020. That corrupt, sick F @DrTedros said Chinazi authorities found no clear evidence of human-to-human transmission of the Wuhan Virus. pic.twitter.com/7ehTnu25aG",,@DrTedros,,1246575745104613376,https://twitter.com/BenKTallmadge/status/1246575745104613376
2020-04-04 23:02:33,jenniferatntd,,74,475,973,"Hi, please support my truth-telling effort! 1. As soon as the #COVID19( #CCPVirus) broke out in #Wuhan #China last Dec., I've been following this issue closely. From my experience with SARS 17 years ago, I somehow knew it would be huge and would affect...https://bit.ly/2xQn3Yy",,,#COVID19 #CCPVirus #Wuhan #China,1246573902014435328,https://twitter.com/jenniferatntd/status/1246573902014435328
2020-04-04 23:02:29,dwnews,,13,121,142,"""Don't take the virus lightly"". The residents of Wuhan have a message for the world about the coronavirus pandemic. pic.twitter.com/RJPY74vqPd",,,,1246573886696652801,https://twitter.com/dwnews/status/1246573886696652801
2020-04-04 22:47:47,WayneDupreeShow,,381,939,1611,"Many reports now saying Corona was released from a Wuhan laboratory, not from ""bats"" or ""wet markets."" Was it done on purpose or accidentally? https://www.waynedupree.com/covid-wuhan-china/ …",,,,1246570188541231110,https://twitter.com/WayneDupreeShow/status/1246570188541231110
2020-04-04 22:44:31,LarrySchweikart,,5,78,118,"4) Credits section says: ""Z.-L.S. provided SHC014 spike sequences and plasmids.” And where is this “Z.-L.S.” now? https://en.wikipedia.org/wiki/Shi_Zhengli … Shi Zhengli . . . at the Wuhan Institute of Virology.",,,,1246569364008005632,https://twitter.com/LarrySchweikart/status/1246569364008005632
2020-04-04 22:43:02,LarrySchweikart,,4,68,109,"3) The US imposed a prohibition upon ""gain of function"" research. The person who is identified as tech lead for protein spikes (the key function that allows exploitation of the ACE-2 receptor for example), has since associated with the level 4 bio lab in WUHAN.",,,,1246568990807404545,https://twitter.com/LarrySchweikart/status/1246568990807404545
2020-04-04 22:20:01,Jimcorrsays,fionamflanagan1,31,56,99,"Could this be what some or more of the #COVID19 patients experienced? I ask because Wuhan, China where the outbreak occurred, was also the first city to have blanket 5G rollout https://twitter.com/fionamflanagan1/status/1246561438006730768 …",,,#COVID19,1246563200780455936,https://twitter.com/Jimcorrsays/status/1246563200780455936
2020-04-04 22:01:17,WaydeDe,PlaysTrumpCard,3,15,54,"Then you have dementia ridden liars like Joe Biden who called President Trump xenophobic for banning travel fromChina after theirCommunist Government covered up the ravages of the Wuhan Flu. @realDonaldTrump it appears thatJoe Biden might be getting lines fed to him via ear comms",,@realDonaldTrump,,1246558483832606720,https://twitter.com/WaydeDe/status/1246558483832606720
2020-04-04 22:00:07,QuickTake,,3,37,39,"""It’s been a long time. Before we couldn’t dare to come out."" The atmosphere in the epicenter of the Covid-19 outbreak, Wuhan, is tense ahead of China lifting its lockdown on the city April 8 pic.twitter.com/0cUqrT30DS",,,,1246558189983858688,https://twitter.com/QuickTake/status/1246558189983858688
2020-04-04 23:42:12,RedState,,32,13,8,"House Dems Introduce Bill to Give Wuhan Virus Relief Money to Illegal Aliens https://www.redstate.com/nick-arama/2020/04/04/house-dems-introduce-bill-to-give-wuhan-virus-relief-money-to-illegal-aliens/?utm_source=Twitter&utm_medium=social&utm_term=house-dems-introduce-bill-to-give-wuhan-virus-relief-money-to-illegal-aliens&utm_content=0&utm_campaign=PostPromoterPro …",,,,1246583883069562880,https://twitter.com/RedState/status/1246583883069562880
2020-04-04 23:35:11,TomthunkitsMind,,3,8,11,"CROWS FOLLOW DEATH. Crows crowded on the Wusi Road, Chengxi District, Wuhan City, Qinghai Province. Crows love dead animals, like carrion. It looks like the movie Resident Evil. #coronavirus pic.twitter.com/XM9dHOYq66 via N95mask1 03 #SaturdayMorning",,,#coronavirus #SaturdayMorning,1246582117712175104,https://twitter.com/TomthunkitsMind/status/1246582117712175104
